,taxon_name,gbif_id,decimal_longitude,decimal_latitude,present/pseudo_absent
0,Mazama nana,233875202,-54.53819,-25.63652,1
1,Mazama nana,699207824,-54.45055,-25.66454,1
2,Mazama nana,699207819,-54.53827,-25.636670000000002,1
3,Mazama nana,233875193,-54.394490000000005,-25.64519,1
4,Mazama nana,699207816,-54.44068000000001,-25.714570000000002,1
5,Mazama nana,699207820,-54.499030000000005,-25.66871,1
6,Mazama nana,233875201,-54.442780000000006,-25.682920000000003,1
7,Mazama nana,382064034,-54.538169999999994,-25.63651,1
8,Mazama nana,699207789,-54.448269999999994,-25.6844,1
9,Mazama nana,699207834,-54.44558000000001,-25.73152,1
10,Mazama nana,233875189,-54.44465,-25.68329,1
11,Mazama nana,699207818,-54.53813,-25.63656,1
12,Mazama nana,233875204,-54.45655,-25.68947,1
13,Mazama nana,699207821,-54.46441,-25.688229999999997,1
14,Mazama nana,699207808,-54.54558000000001,-25.62889,1
15,Mazama nana,233875188,-54.302369999999996,-25.67425,1
16,Mazama nana,699207822,-54.443000000000005,-25.72169,1
17,Mazama nana,699207809,-54.47486,-25.69819,1
18,Mazama nana,699207825,-54.2969,-25.67276,1
19,Mazama nana,233875192,-54.465959999999995,-25.68832,1
20,Mazama nana,233875185,-54.36103000000001,-25.697110000000002,1
21,Mazama nana,382064005,-54.39075,-25.66362,1
22,Mazama nana,699207810,-54.478019999999994,-25.7126,1
23,Mazama nana,233875199,-54.53426999999999,-25.64058,1
24,Mazama nana,233875181,-54.360780000000005,-25.69889,1
25,Mazama nana,699207837,-54.45795,-25.69067,1
26,Mazama nana,699207828,-54.433640000000004,-25.71665,1
27,Mazama nana,699207830,-54.48174,-25.686510000000002,1
28,Mazama nana,699207811,-54.46886,-25.70584,1
29,Mazama nana,699207817,-54.35365,-25.70407,1
30,Mazama nana,233875179,-54.36145,-25.70392,1
31,Mazama nana,699207839,-54.45596,-25.687479999999997,1
32,Mazama nana,233875187,-54.361180000000004,-25.69376,1
33,Mazama nana,382069434,-54.449769999999994,-25.681810000000002,1
34,Mazama nana,699207835,-54.333330000000004,-25.616670000000003,1
35,Mazama nana,699207796,-54.4251,-25.70346,1
36,Mazama nana,699207799,-54.478019999999994,-25.69073,1
37,Mazama nana,233875205,-54.48778000000001,-25.67919,1
38,Mazama nana,699207812,-54.47161,-25.70324,1
39,Mazama nana,233875203,-54.51234,-25.679270000000002,1
40,Mazama nana,699207795,-54.446259999999995,-25.68338,1
41,Mazama nana,233875196,-54.36029,-25.70615,1
42,Mazama nana,233875180,-54.36147,-25.703879999999998,1
43,Mazama nana,699207814,-54.3324,-25.69577,1
44,Mazama nana,699207807,-54.48412,-25.68362,1
45,Mazama nana,699207826,-54.51769,-25.65417,1
46,Mazama nana,699207790,-54.45482,-25.69081,1
47,Mazama nana,699207798,-54.474759999999996,-25.68955,1
48,Mazama nana,699207793,-54.45559,-25.69106,1
49,Mazama nana,233875184,-54.3611,-25.69738,1
50,Mazama nana,233875182,-54.36103000000001,-25.69856,1
51,Mazama nana,699207797,-54.44157,-25.70675,1
52,Mazama nana,699207794,-54.441140000000004,-25.69841,1
53,Mazama nana,699207813,-54.312419999999996,-25.68766,1
54,Mazama nana,233875177,-54.42572,-25.72279,1
55,Mazama nana,699207833,-54.440630000000006,-25.715020000000003,1
56,Mazama nana,699207815,-54.39175,-25.71865,1
57,Mazama nana,699207831,-54.36048,-25.706139999999998,1
58,Mazama nana,233875195,-54.314859999999996,-25.68944,1
59,Mazama nana,233875186,-54.359880000000004,-25.69599,1
60,Mazama nana,699207829,-54.531859999999995,-25.64309,1
61,Mazama nana,233875198,-54.289840000000005,-25.67389,1
62,Mazama nana,699207838,-54.41531,-25.65596,1
63,Mazama nana,233875176,-54.478069999999995,-25.690739999999998,1
64,Mazama nana,699207836,-54.44183,-25.70932,1
