,Unnamed: 0,gbif_id,taxon_name,decimal_latitude,decimal_longitude,coordinates,present/pseudo_absent,band 1,band 2,band 3,band 4,band 5,band 6,band 7,band 8,band 9,band 10,band 11,band 12,band 13,band 14,band 15,band 16,band 17,band 18,band 19,band 20,band 21,band 22,band 23,band 24,band 25,band 26,band 27,band 28,band 29,band 30,band 31,band 32,band 33,band 34,band 35,band 36,band 37,band 38,band 39,band 40,band 41
0,0,1891339418,Rhinoceros unicornis,27.523278,84.351575,POINT (84.351575 27.523278),1,5.774075,125.0,22.0,1541.79,73.29,0.16,13.75,233.73,103122.0,103122.0,218.0,228.0,12.0,84.32,81.28,3896.73,164.52,147.53,546.0,223.0,55.0,0.028484985,238.0,287.0,162.0,1830.0,477.0,3.0,116.0,1278.0,31.0,886.0,36.0,117.0,44.0,5060.0,355.0,90.0,265.0,284.0,173.0
1,1,923224743,Rhinoceros unicornis,27.468269,84.47963,POINT (84.47963 27.468269),1,3.8594496,133.0,26.0,1488.49,70.21,0.14,13.4,227.13,98640.0,98640.0,209.0,218.0,12.0,82.17,79.64,3644.55,158.09,142.23,518.0,144.0,57.0,0.028844235,228.0,276.0,154.0,1731.0,438.0,5.0,112.0,1179.0,34.0,839.0,41.0,115.0,44.0,4933.0,340.0,81.0,259.0,273.0,164.0
2,2,1339568582,Rhinoceros unicornis,27.57646,84.359894,POINT (84.359894 27.57646),1,5.774075,125.0,22.0,1541.79,73.29,0.16,13.75,233.73,103122.0,103122.0,218.0,228.0,12.0,84.32,81.28,3896.73,164.52,147.53,546.0,223.0,55.0,0.028484985,238.0,287.0,162.0,1830.0,477.0,3.0,116.0,1278.0,31.0,886.0,36.0,117.0,44.0,5060.0,355.0,90.0,265.0,284.0,173.0
3,3,899948844,Rhinoceros unicornis,27.493708,84.423903,POINT (84.423903 27.493708),1,3.8594496,133.0,26.0,1488.49,70.21,0.14,13.4,227.13,98640.0,98640.0,209.0,218.0,12.0,82.17,79.64,3644.55,158.09,142.23,518.0,144.0,57.0,0.028844235,228.0,276.0,154.0,1731.0,438.0,5.0,112.0,1179.0,34.0,839.0,41.0,115.0,44.0,4933.0,340.0,81.0,259.0,273.0,164.0
4,4,1837765159,Rhinoceros unicornis,27.483084,84.29957900000002,POINT (84.29957900000001 27.483084),1,0.7922265,133.0,26.0,1538.63,74.86,0.14,13.6,231.41,103356.0,103356.0,219.0,229.0,12.0,84.96,82.05,3800.63,162.71,146.2,549.0,144.0,57.0,0.01804005,239.0,287.0,164.0,1791.0,482.0,3.0,117.0,1259.0,30.0,888.0,35.0,116.0,44.0,4999.0,353.0,91.0,262.0,284.0,174.0
5,5,1883546506,Rhinoceros unicornis,26.764628,91.002874,POINT (91.00287400000001 26.764628),1,2.9912107,115.0,18.0,1370.97,64.02,0.59,11.7,535.3,101628.0,101628.0,225.0,248.0,12.0,84.12,84.12,2533.41,123.84,136.76,561.0,313.0,44.0,0.04469868,235.0,278.0,173.0,3319.0,794.0,11.0,96.0,2010.0,45.0,1464.0,45.0,95.0,45.0,4090.0,312.0,101.0,211.0,270.0,173.0
6,6,1837771533,Rhinoceros unicornis,27.476258,84.25474399999997,POINT (84.25474399999999 27.476258),1,0.7922265,133.0,26.0,1538.63,74.86,0.14,13.6,231.41,103356.0,103356.0,219.0,229.0,12.0,84.96,82.05,3800.63,162.71,146.2,549.0,144.0,57.0,0.01804005,239.0,287.0,164.0,1791.0,482.0,3.0,117.0,1259.0,30.0,888.0,35.0,116.0,44.0,4999.0,353.0,91.0,262.0,284.0,174.0
7,7,1500313141,Rhinoceros unicornis,26.739181,91.137159,POINT (91.137159 26.739181),1,2.7122917,146.0,12.0,1404.47,65.11,0.54,11.75,492.35,105660.0,105660.0,234.0,257.0,12.0,86.96,86.96,2579.68,126.3,139.48,587.0,79.0,52.0,0.0005072586,244.0,287.0,182.0,3076.0,729.0,10.0,94.0,1860.0,45.0,1308.0,45.0,96.0,45.0,4091.0,321.0,109.0,212.0,279.0,182.0
8,8,1702462678,Rhinoceros unicornis,27.403418,84.49140799999998,POINT (84.49140799999999 27.403418),1,2.8434427,133.0,26.0,1506.66,74.06,0.08,13.5,213.85,100080.0,100080.0,213.0,222.0,12.0,83.57,81.17,3671.28,159.96,143.98,527.0,144.0,57.0,0.03004888,231.0,280.0,156.0,1644.0,426.0,4.0,114.0,1131.0,32.0,795.0,38.0,116.0,44.0,4985.0,344.0,83.0,261.0,277.0,167.0
9,9,1572373676,Rhinoceros unicornis,27.518068,84.499447,POINT (84.499447 27.518068),1,0.16359857,125.0,22.0,1543.03,73.51,0.14,13.75,227.99,103122.0,103122.0,218.0,228.0,12.0,84.38,81.41,3885.88,164.87,147.79,546.0,223.0,55.0,0.045121484,238.0,287.0,162.0,1785.0,482.0,3.0,116.0,1242.0,32.0,844.0,37.0,117.0,44.0,5042.0,355.0,90.0,265.0,284.0,173.0
10,10,1703215199,Rhinoceros unicornis,27.460915000000004,84.521975,POINT (84.521975 27.460915),1,3.2169955,133.0,26.0,1458.9,66.9,0.17,13.25,236.81,96066.0,96066.0,204.0,228.0,12.0,80.59,78.29,3527.1,154.98,140.24,503.0,144.0,57.0,0.02176328,222.0,269.0,149.0,1766.0,449.0,7.0,110.0,1186.0,36.0,865.0,44.0,113.0,44.0,4864.0,331.0,77.0,254.0,267.0,159.0
11,11,1880516753,Rhinoceros unicornis,27.414892,84.48728,POINT (84.48728 27.414892),1,2.8434427,133.0,26.0,1506.66,74.06,0.08,13.5,213.85,100080.0,100080.0,213.0,222.0,12.0,83.57,81.17,3671.28,159.96,143.98,527.0,144.0,57.0,0.03004888,231.0,280.0,156.0,1644.0,426.0,4.0,114.0,1131.0,32.0,795.0,38.0,116.0,44.0,4985.0,344.0,83.0,261.0,277.0,167.0
12,12,1891339603,Rhinoceros unicornis,27.598529,84.275429,POINT (84.275429 27.598529),1,4.492945,125.0,22.0,1560.28,72.86,0.23,13.65,259.22,104994.0,104994.0,223.0,232.0,12.0,85.52,82.04,3947.46,165.86,148.52,561.0,223.0,55.0,0.001994134,243.0,291.0,168.0,2025.0,550.0,3.0,119.0,1437.0,26.0,1021.0,30.0,117.0,44.0,4971.0,359.0,95.0,264.0,287.0,177.0
13,13,1837765157,Rhinoceros unicornis,27.57808,84.20828399999998,POINT (84.20828399999999 27.57808),1,0.63991225,125.0,22.0,1545.91,73.09,0.22,13.45,255.69,104238.0,104238.0,222.0,230.0,12.0,85.57,82.36,3835.43,163.4,146.53,557.0,223.0,55.0,0.016537955,241.0,288.0,167.0,1973.0,553.0,3.0,119.0,1395.0,27.0,1007.0,31.0,116.0,44.0,4920.0,355.0,94.0,261.0,285.0,176.0
14,14,1891339418,Rhinoceros unicornis,23.273182313152137,91.29872783656315,POINT (91.29872783656315 23.27318231315214),0,4.005752,136.0,18.0,1415.23,61.81,0.41,9.25,407.88,110376.0,110376.0,258.0,245.0,12.0,100.8,100.8,1954.66,140.24,120.21,639.0,142.0,50.0,0.0010028745,255.0,281.0,203.0,2413.0,499.0,3.0,90.0,1427.0,32.0,896.0,32.0,90.0,45.0,3259.0,326.0,126.0,200.0,279.0,203.0
15,15,923224743,Rhinoceros unicornis,27.863135125327823,96.19137676738049,POINT (96.19137676738049 27.86313512532782),0,4.7464232,128.0,21.0,1331.73,42.72,0.56,12.75,458.35,96426.0,96426.0,210.0,238.0,12.0,75.54,76.47,2679.76,127.0,135.06,517.0,191.0,49.0,0.005581197,223.0,271.0,158.0,3048.0,665.0,17.0,89.0,1802.0,77.0,1620.0,112.0,96.0,42.0,4471.0,311.0,84.0,227.0,270.0,169.0
16,16,1339568582,Rhinoceros unicornis,22.54742716659391,80.42144637370751,POINT (80.42144637370751 22.54742716659391),0,4.469302,151.0,49.0,1756.72,78.57,-0.19,15.65,145.46,105948.0,105948.0,265.0,248.0,12.0,107.92,107.92,4323.91,210.28,121.97,592.0,112.0,67.0,0.003606944,245.0,309.0,180.0,1430.0,467.0,2.0,136.0,1132.0,40.0,168.0,40.0,141.0,42.0,4940.0,412.0,82.0,330.0,262.0,180.0
17,17,899948844,Rhinoceros unicornis,29.94920578470089,93.46778308373692,POINT (93.46778308373692 29.94920578470089),0,3.0536993,122.0,11.0,768.77,49.92,-0.5,18.2,43.31,8221.5,3942.0,-2.0,35.0,0.0,26.02,26.02,3169.78,102.31,102.31,-171.0,696.0,76.0,0.18081294,7.0,86.0,-78.0,385.0,94.0,1.0,103.0,249.0,5.0,249.0,5.0,143.0,43.0,6451.0,150.0,-177.0,327.0,86.0,-78.0
18,18,1837765159,Rhinoceros unicornis,28.01409430834528,97.58130227881212,POINT (97.58130227881213 28.01409430834528),0,0.9045001,114.0,21.0,1100.13,45.52,0.38,13.45,258.76,58014.0,58014.0,122.0,154.0,9.0,56.18,57.63,2740.82,119.49,119.49,252.0,301.0,60.0,0.16878247,134.0,190.0,68.0,1761.0,384.0,11.0,90.0,1051.0,45.0,1051.0,60.0,105.0,43.0,4825.0,235.0,-4.0,239.0,190.0,79.0
19,19,1883546506,Rhinoceros unicornis,30.178670105113376,81.00256521259028,POINT (81.00256521259028 30.17867010511338),0,3.8679543,114.0,21.0,573.53,40.98,0.25,16.05,108.67,2625.0,159.0,-53.0,6.0,0.0,16.5,27.2,2706.74,80.49,71.99,-241.0,0.0,76.0,0.09249541,-26.0,47.0,-99.0,769.0,172.0,8.0,77.0,422.0,67.0,388.0,124.0,109.0,41.0,5723.0,100.0,-162.0,262.0,42.0,-61.0
20,20,1837771533,Rhinoceros unicornis,29.47041710323957,86.65957790018786,POINT (86.65957790018786 29.47041710323957),0,0.69456834,122.0,16.0,813.55,70.5,-0.7,18.75,25.66,8788.5,4272.0,3.0,43.0,1.0,27.35,28.5,3425.89,108.25,96.15,-161.25,124.0,75.0,0.017548142,9.0,94.0,-77.0,240.0,86.0,1.0,133.0,187.0,7.0,181.0,9.0,154.0,44.0,6723.0,166.0,-177.0,343.0,88.0,-67.0
21,21,1500313141,Rhinoceros unicornis,24.7442712974052,100.13123614507748,POINT (100.1312361450775 24.7442712974052),0,5.2222176,121.0,21.0,1351.17,70.83,-0.25,11.3,150.94,80136.0,80136.0,191.0,191.0,12.0,82.04,82.04,2686.09,127.47,127.47,422.0,113.0,44.0,0.032010816,185.0,229.0,126.0,1018.0,197.0,15.0,81.0,558.0,50.0,558.0,50.0,114.0,48.0,4119.0,279.0,46.0,233.0,229.0,126.0
22,22,1702462678,Rhinoceros unicornis,29.66386466299531,81.71904984305449,POINT (81.71904984305448 29.66386466299531),0,0.99828005,114.0,21.0,1207.61,54.48,-0.23,13.55,131.31,63918.0,63918.0,121.0,147.0,9.0,52.15,49.48,4224.07,133.15,115.49,296.0,302.0,53.0,0.0720412,148.0,199.0,80.0,927.0,206.0,7.0,82.0,535.0,67.0,341.0,108.0,111.0,45.0,4815.0,272.0,27.0,245.0,190.0,85.0
23,23,1572373676,Rhinoceros unicornis,24.63716286719113,100.11800457619977,POINT (100.1180045761998 24.63716286719113),0,5.873981,145.0,43.0,1263.09,69.28,-0.17,11.1,160.17,71298.0,71298.0,173.0,172.0,11.0,77.27,77.27,2481.01,118.8,118.8,365.0,122.0,65.0,0.03313883,165.0,209.0,107.0,1054.0,210.0,14.0,83.0,586.0,48.0,586.0,48.0,113.0,49.0,4054.0,256.0,27.0,229.0,209.0,107.0
24,24,1703215199,Rhinoceros unicornis,33.09605059370243,81.48791120212078,POINT (81.48791120212078 33.09605059370243),0,0.6911864,122.0,15.0,690.89,85.67,-0.86,24.6,9.4,4920.0,3798.0,-73.0,30.0,1.0,9.97,24.66,4256.24,113.6,102.47,-247.0,35.0,76.0,0.023060266,-25.0,88.0,-134.0,99.0,30.0,1.0,97.0,63.0,7.0,60.0,12.0,149.0,38.0,8619.0,171.0,-218.0,389.0,82.0,-84.0
25,25,1880516753,Rhinoceros unicornis,29.39161723849216,97.58375580191164,POINT (97.58375580191164 29.39161723849216),0,0.64366376,122.0,13.0,687.98,53.49,-0.15,15.6,76.67,5427.0,3114.0,-6.0,25.0,0.0,25.61,27.14,2634.67,88.67,88.67,-164.0,387.0,76.0,0.04067914,-1.0,68.0,-74.0,585.0,132.0,3.0,91.0,345.0,15.0,345.0,16.0,125.0,44.0,5617.0,124.0,-157.0,281.0,68.0,-64.0
26,26,1891339603,Rhinoceros unicornis,23.70887430977484,88.99861845667806,POINT (88.99861845667806 23.70887430977484),0,2.6445115,135.0,33.0,1588.32,70.4,-0.04,11.6,200.11,112734.0,112734.0,259.0,247.0,12.0,105.21,105.21,3110.34,171.84,133.9,633.0,432.0,62.0,0.00024693293,261.0,298.0,197.0,1523.0,299.0,4.0,89.0,860.0,34.0,499.0,34.0,110.0,42.0,4083.0,369.0,113.0,256.0,291.0,197.0
27,27,1837765157,Rhinoceros unicornis,29.191824054787283,99.79860538559643,POINT (99.79860538559642 29.19182405478728),0,4.8102474,122.0,14.0,748.85,66.2,-0.13,16.2,80.7,8074.5,3672.0,9.0,37.0,0.0,28.86,28.86,2713.63,92.43,92.43,-144.0,448.0,65.0,0.035252098,10.0,80.0,-68.0,649.0,168.0,3.0,105.0,428.0,11.0,428.0,11.0,134.0,45.0,5839.0,133.0,-163.0,296.0,80.0,-68.0
