,Unnamed: 0,gbif_id,taxon_name,decimal_latitude,decimal_longitude,coordinates,present/pseudo_absent,band 1,band 2,band 3,band 4,band 5,band 6,band 7,band 8,band 9,band 10,band 11,band 12,band 13,band 14,band 15,band 16,band 17,band 18,band 19,band 20,band 21,band 22,band 23,band 24,band 25,band 26,band 27,band 28,band 29,band 30,band 31,band 32,band 33,band 34,band 35,band 36,band 37,band 38,band 39,band 40,band 41
0,0,1934855541,Sus scrofa,45.245806,29.13286,POINT (29.13286 45.245806),1,2.1878955,49.0,26.0,846.76,64.6,-0.53,22.75,45.23,44962.5,30936.0,27.0,174.0,7.0,17.17,25.71,4944.48,135.42,130.49,145.25,2882.0,36.0,9.3770184e-05,113.0,215.0,8.0,397.0,47.0,23.0,19.0,124.0,84.0,119.0,92.0,80.0,25.0,8114.0,272.0,-36.0,308.0,196.0,14.0
1,1,1934855535,Sus scrofa,45.145234,29.637915000000003,POINT (29.637915 45.145234),1,-3.4e+38,49.0,26.0,692.68,65.12,-0.54,21.9,40.58,50004.0,31200.0,29.0,191.0,7.0,16.0,22.7,3842.79,108.12,94.59,150.5,2882.0,36.0,-3.4e+38,115.0,215.0,15.0,319.0,35.0,17.0,20.0,95.0,63.0,93.0,74.0,56.0,20.0,7878.0,254.0,-22.0,276.0,208.0,18.0
2,2,1934855524,Sus scrofa,45.100272,29.635843,POINT (29.635843 45.100272),1,-3.4e+38,49.0,26.0,692.68,65.12,-0.54,21.9,40.58,50004.0,31200.0,29.0,191.0,7.0,16.0,22.7,3842.79,108.12,94.59,150.5,2882.0,36.0,-3.4e+38,115.0,215.0,15.0,319.0,35.0,17.0,20.0,95.0,63.0,93.0,74.0,56.0,20.0,7878.0,254.0,-22.0,276.0,208.0,18.0
3,3,1934855513,Sus scrofa,45.195795,29.385621,POINT (29.385621 45.195795),1,0.9536971,49.0,26.0,775.7,65.13,-0.54,22.35,42.89,45259.5,31032.0,28.0,182.0,7.0,16.64,24.36,4440.4,122.97,118.69,147.25,2882.0,36.0,0.00014065528,114.0,214.0,11.0,358.0,40.0,21.0,19.0,109.0,73.0,107.0,83.0,69.0,23.0,7996.0,263.0,-30.0,293.0,195.0,16.0
4,4,1934855509,Sus scrofa,45.155851,29.129501,POINT (29.129501 45.155851),1,5.6700115,117.0,32.0,836.41,64.63,-0.53,22.55,45.13,45127.5,30972.0,28.0,175.0,7.0,17.23,25.71,4846.46,133.27,128.21,146.25,94.0,77.0,0.00013269861,114.0,215.0,10.0,391.0,45.0,24.0,18.0,120.0,82.0,115.0,90.0,78.0,25.0,8054.0,270.0,-34.0,304.0,196.0,16.0
5,5,1934855505,Sus scrofa,44.225789,28.031438,POINT (28.031438 44.225789),1,1.0398853,131.0,15.0,850.85,58.1,-0.45,21.75,55.06,49068.0,30576.0,32.0,170.0,7.0,18.6,27.77,4749.86,132.57,128.25,140.25,72.0,75.0,0.0065372693,113.0,210.0,13.0,466.0,54.0,30.0,18.0,145.0,92.0,136.0,101.0,81.0,27.0,7716.0,266.0,-31.0,297.0,191.0,20.0
6,6,1934855504,Sus scrofa,44.22733,27.843652,POINT (27.843652 44.22733),1,0.58943504,131.0,15.0,873.4,58.48,-0.46,22.0,54.82,45589.5,36180.0,32.0,170.0,7.0,18.8,28.43,4900.01,136.49,131.86,145.0,72.0,75.0,0.003786072,115.0,212.0,13.0,472.0,56.0,30.0,19.0,150.0,92.0,140.0,101.0,84.0,27.0,7763.0,270.0,-32.0,302.0,193.0,21.0
7,7,1934855484,Sus scrofa,44.713372,28.671322,POINT (28.671322 44.713372),1,1.2793568,123.0,25.0,840.83,62.84,-0.51,22.2,48.42,45441.0,30984.0,30.0,174.0,7.0,17.98,26.69,4776.65,132.54,127.73,145.0,181.0,74.0,0.0107639665,114.0,213.0,12.0,414.0,47.0,27.0,16.0,125.0,86.0,118.0,94.0,79.0,26.0,7867.0,268.0,-32.0,300.0,194.0,19.0
8,8,1934855482,Sus scrofa,45.150825,29.383743,POINT (29.383743 45.150825),1,0.953007,139.0,13.0,768.52,65.18,-0.54,22.2,42.85,49536.0,31080.0,29.0,183.0,7.0,16.66,24.25,4373.7,121.45,117.35,149.0,101.0,72.0,4.683955e-05,115.0,215.0,12.0,354.0,39.0,21.0,18.0,107.0,72.0,104.0,82.0,67.0,23.0,7969.0,262.0,-28.0,290.0,196.0,17.0
9,9,1934855480,Sus scrofa,44.182763,27.780459000000004,POINT (27.780459 44.182763),1,5.0312386,131.0,15.0,879.69,58.31,-0.46,22.05,54.75,45589.5,36193.5,32.0,170.0,7.0,18.83,28.56,4942.95,137.35,132.98,145.75,72.0,75.0,0.007875857,115.0,213.0,13.0,473.0,57.0,30.0,20.0,153.0,91.0,143.0,99.0,85.0,28.0,7785.0,271.0,-32.0,303.0,193.0,21.0
10,10,1934855479,Sus scrofa,45.207317,28.749398,POINT (28.749398 45.207317),1,0.35949898,130.0,23.0,918.01,63.34,-0.52,23.2,47.74,44731.5,30900.0,25.0,165.0,7.0,17.64,27.3,5434.76,147.4,142.08,142.0,222.0,61.0,0.006956032,112.0,215.0,4.0,441.0,55.0,26.0,21.0,142.0,93.0,134.0,99.0,93.0,28.0,8218.0,281.0,-43.0,324.0,197.0,13.0
11,11,1934855476,Sus scrofa,44.921862,29.564312,POINT (29.564312 44.921862),1,4.0932245,138.0,2.0,716.95,64.27,-0.52,21.65,43.22,50166.0,31188.0,32.0,188.0,7.0,16.68,23.54,3972.58,111.85,98.27,150.75,57.0,76.0,0.00014024737,116.0,214.0,16.0,341.0,36.0,19.0,17.0,98.0,69.0,97.0,80.0,59.0,21.0,7783.0,255.0,-22.0,277.0,208.0,20.0
12,12,1934855467,Sus scrofa,45.200829,29.131179,POINT (29.131179 45.200829),1,2.1878955,49.0,26.0,846.76,64.6,-0.53,22.75,45.23,44962.5,30936.0,27.0,174.0,7.0,17.17,25.71,4944.48,135.42,130.49,145.25,2882.0,36.0,9.3770184e-05,113.0,215.0,8.0,397.0,47.0,23.0,19.0,124.0,84.0,119.0,92.0,80.0,25.0,8114.0,272.0,-36.0,308.0,196.0,14.0
13,13,1934855461,Sus scrofa,44.094679,27.404513,POINT (27.404513 44.094679),1,0.14753784,117.0,32.0,912.93,57.05,-0.45,22.4,56.36,45573.0,36274.5,30.0,167.0,7.0,18.93,29.37,5176.12,142.98,138.4,146.0,94.0,77.0,0.006637738,115.0,213.0,11.0,500.0,64.0,31.0,24.0,170.0,94.0,158.0,102.0,90.0,28.0,7874.0,276.0,-35.0,311.0,195.0,20.0
14,14,1934855459,Sus scrofa,45.294197,28.943371000000006,POINT (28.943371 45.294197),1,0.95438886,49.0,26.0,899.99,64.15,-0.53,23.1,46.56,44599.5,30792.0,26.0,167.0,7.0,17.54,26.77,5328.9,144.94,139.24,142.5,2882.0,36.0,0.000328516,112.0,215.0,5.0,426.0,53.0,24.0,21.0,137.0,91.0,129.0,98.0,90.0,28.0,8201.0,279.0,-42.0,321.0,196.0,13.0
15,15,1934855457,Sus scrofa,45.165941,28.493634000000004,POINT (28.493634 45.165941),1,2.8007483,121.0,22.0,869.11,57.57,-0.45,23.05,53.01,37035.0,28608.0,13.0,155.0,6.0,16.31,25.65,5161.18,139.55,134.92,106.75,286.0,71.0,0.014162321,101.0,202.0,-7.0,480.0,62.0,28.0,22.0,159.0,98.0,150.0,105.0,90.0,28.0,8160.0,266.0,-53.0,319.0,184.0,3.0
16,16,1934855453,Sus scrofa,44.183549,27.655353,POINT (27.655353 44.183549),1,5.2303953,117.0,32.0,899.4,58.55,-0.47,22.3,54.4,46002.0,36531.0,32.0,170.0,7.0,18.88,29.06,5077.71,140.64,136.11,149.5,94.0,77.0,0.0057532853,116.0,214.0,13.0,478.0,60.0,30.0,22.0,159.0,91.0,148.0,99.0,87.0,28.0,7843.0,275.0,-33.0,308.0,195.0,22.0
