,gbif_id,taxon_name,decimal_latitude,decimal_longitude,occurrence,band 1,band 2,band 3,band 4,band 5,band 6,band 7,band 8,band 9,band 10,band 11,band 12,band 13,band 14,band 15,band 16,band 17,band 18,band 19,band 20,band 21,band 22,band 23,band 24,band 25,band 26,band 27,band 28,band 29,band 30,band 31,band 32,band 33,band 34,band 35,band 36,band 37,band 38,band 39,band 40,band 41
0,1990593807,Lama glama guanicoe,-50.980343,-72.76443499999999,1,4.097256,116.0,28.0,688.25,49.2,-0.13,10.3,113.57,29250.0,17280.0,50.0,67.0,3.0,13.96,96.32,4035.96,106.83,37.44,96.0,288.0,48.0,0.028530652,68.0,112.0,19.0,602.0,63.0,38.0,15.0,182.0,126.0,138.0,155.0,90.0,47.0,3632.0,167.0,-22.0,189.0,65.0,93.0
1,1990566091,Lama glama guanicoe,-53.182945,-69.28293599999999,1,1.8779747,118.0,27.0,578.58,58.17,-0.35,8.1,89.67,26532.0,12253.5,48.0,60.0,1.0,10.49,58.74,3520.08,92.38,31.24,96.0,233.0,59.0,0.010946378,61.0,98.0,24.0,377.0,41.0,19.0,20.0,112.0,68.0,106.0,91.0,73.0,48.0,2902.0,146.0,-4.0,150.0,63.0,59.0
2,1990556566,Lama glama guanicoe,-46.872203000000006,-70.224092,1,5.8206673,110.0,15.0,878.39,83.59,-0.8,13.75,25.58,38232.0,22560.0,63.0,96.0,5.0,19.64,134.51,4876.68,133.41,52.49,125.0,107.0,66.0,0.006275406,88.0,150.0,24.0,175.0,28.0,8.0,36.0,61.0,28.0,30.0,47.0,110.0,45.0,4995.0,216.0,-26.0,242.0,89.0,140.0
3,1990486258,Lama glama guanicoe,-51.005546,-72.842054,1,5.733625,120.0,18.0,685.78,48.23,-0.01,10.1,130.48,29862.0,17448.0,52.0,68.0,3.0,14.0,95.99,4014.13,106.35,37.34,102.0,214.0,43.0,0.011739503,69.0,112.0,21.0,681.0,70.0,44.0,15.0,204.0,144.0,159.0,173.0,89.0,47.0,3547.0,167.0,-19.0,186.0,66.0,94.0
4,1986626409,Lama glama guanicoe,-42.629804,-64.191275,1,5.3827143,112.0,9.0,1031.4,79.74,-0.8,12.0,32.5,57294.0,57294.0,116.0,134.0,8.0,30.59,148.0,5000.53,148.16,65.06,275.0,63.0,77.0,0.0039741667,132.0,188.0,75.0,209.0,27.0,10.0,31.0,73.0,36.0,37.0,54.0,107.0,47.0,4379.0,251.0,27.0,224.0,139.0,175.0
5,1986625937,Lama glama guanicoe,-42.628104,-64.206254,1,5.3827143,112.0,9.0,1031.4,79.74,-0.8,12.0,32.5,57294.0,57294.0,116.0,134.0,8.0,30.59,148.0,5000.53,148.16,65.06,275.0,63.0,77.0,0.0039741667,132.0,188.0,75.0,209.0,27.0,10.0,31.0,73.0,36.0,37.0,54.0,107.0,47.0,4379.0,251.0,27.0,224.0,139.0,175.0
6,1986625399,Lama glama guanicoe,-42.630414,-64.201937,1,5.3827143,112.0,9.0,1031.4,79.74,-0.8,12.0,32.5,57294.0,57294.0,116.0,134.0,8.0,30.59,148.0,5000.53,148.16,65.06,275.0,63.0,77.0,0.0039741667,132.0,188.0,75.0,209.0,27.0,10.0,31.0,73.0,36.0,37.0,54.0,107.0,47.0,4379.0,251.0,27.0,224.0,139.0,175.0
7,1986624198,Lama glama guanicoe,-53.415312,-68.129085,1,-3.4e+38,110.0,32.0,583.67,66.66,-0.48,8.9,68.2,26460.0,12631.5,43.0,62.0,2.0,10.29,36.48,3605.21,94.62,31.11,95.0,522.0,54.0,-3.4e+38,61.0,102.0,19.0,304.0,34.0,15.0,23.0,91.0,51.0,88.0,71.0,73.0,45.0,3238.0,151.0,-8.0,159.0,61.0,42.0
8,1986621637,Lama glama guanicoe,-52.142153,-69.519961,1,1.6937312,110.0,24.0,672.62,70.0,-0.62,9.55,50.65,26460.0,12852.0,44.0,57.0,2.0,12.02,43.33,4031.54,104.59,106.72,85.0,116.0,61.0,0.003540013,61.0,103.0,15.0,254.0,30.0,13.0,22.0,81.0,43.0,80.0,54.0,93.0,51.0,3421.0,159.0,-20.0,179.0,97.0,43.0
9,1986621380,Lama glama guanicoe,-30.653709999999997,-71.684147,1,3.7598555,138.0,43.0,1082.58,87.81,-0.88,7.3,28.06,65106.0,65106.0,160.0,143.0,12.0,50.7,121.55,3458.08,131.91,50.7,367.0,161.0,58.0,0.022370044,151.0,185.0,119.0,132.0,42.0,0.0,116.0,96.0,0.0,0.0,96.0,89.0,54.0,2591.0,236.0,73.0,163.0,119.0,184.0
10,1986621362,Lama glama guanicoe,-26.245364000000002,-70.614434,1,4.5451045,143.0,8.0,1240.45,98.63,-0.99,7.3,3.53,80586.0,80586.0,196.0,177.0,12.0,65.61,133.55,3214.29,133.55,65.61,469.0,15.0,74.0,0.07384225,186.0,218.0,154.0,17.0,5.0,0.0,90.0,13.0,0.0,0.0,13.0,91.0,55.0,2484.0,269.0,104.0,165.0,154.0,218.0
11,1986620369,Lama glama guanicoe,-51.27,-72.37,1,5.2599697,118.0,12.0,684.37,64.88,-0.44,10.7,68.9,24606.0,12568.5,41.0,55.0,1.0,13.44,70.76,4062.29,106.89,37.03,60.0,55.0,64.0,0.055339262,57.0,102.0,6.0,385.0,43.0,23.0,18.0,121.0,77.0,89.0,98.0,98.0,49.0,3742.0,162.0,-38.0,200.0,54.0,63.0
12,1986615782,Lama glama guanicoe,-47.859555,-66.390651,1,0.74993306,111.0,8.0,870.9,83.03,-0.75,11.75,35.85,43632.0,33945.0,75.0,99.0,7.0,19.16,90.35,4888.67,130.24,17.24,180.0,98.0,64.0,0.006191909,101.0,152.0,44.0,216.0,27.0,12.0,25.0,77.0,40.0,48.0,65.0,101.0,47.0,4331.0,216.0,4.0,212.0,49.0,103.0
13,1986615744,Lama glama guanicoe,-47.768678,-66.194965,1,1.1124754,114.0,12.0,871.38,83.15,-0.75,11.65,35.68,44262.0,34365.0,77.0,101.0,7.0,19.4,90.62,4878.36,129.8,17.41,184.0,94.0,55.0,0.001655668,102.0,153.0,45.0,214.0,27.0,11.0,27.0,76.0,39.0,48.0,64.0,100.0,47.0,4324.0,216.0,5.0,211.0,51.0,105.0
14,1986615503,Lama glama guanicoe,-47.881436,-66.655434,1,0.3826458,111.0,8.0,870.52,82.78,-0.75,11.95,35.86,43074.0,33585.0,73.0,98.0,7.0,19.19,89.68,4892.45,130.84,17.2,175.0,98.0,64.0,0.0050595435,100.0,152.0,42.0,218.0,27.0,12.0,24.0,77.0,41.0,48.0,66.0,102.0,47.0,4390.0,216.0,2.0,214.0,47.0,102.0
15,1986604678,Lama glama guanicoe,-32.754678999999996,-69.056301,1,1.6683663,113.0,18.0,1084.67,77.32,-0.77,12.65,32.7,32886.0,16117.5,79.0,65.0,5.0,39.26,51.65,4525.93,147.43,132.93,107.0,52.0,48.0,0.095239766,76.0,135.0,18.0,246.0,25.0,13.0,17.0,70.0,55.0,68.0,58.0,144.0,53.0,4527.0,219.0,-48.0,267.0,128.0,27.0
16,1986576951,Lama glama guanicoe,-47.1153,-72.484409,1,1.3812684,120.0,18.0,683.18,54.57,-0.03,10.3,129.32,27666.0,13608.0,46.0,69.0,3.0,16.15,102.17,3686.82,102.17,23.42,88.0,214.0,43.0,0.04044515,64.0,110.0,15.0,663.0,80.0,34.0,29.0,217.0,112.0,112.0,217.0,83.0,45.0,3707.0,161.0,-22.0,183.0,38.0,110.0
17,1986574863,Lama glama guanicoe,-46.896389,-71.251667,1,1.1728258,110.0,15.0,668.98,75.73,-0.62,12.15,41.61,10788.0,5625.0,8.0,32.0,0.0,14.0,102.29,3776.9,102.29,40.35,-38.0,107.0,66.0,0.009240659,30.0,83.0,-28.0,252.0,32.0,8.0,32.0,83.0,37.0,37.0,80.0,102.0,46.0,4374.0,143.0,-76.0,219.0,32.0,83.0
18,1978837059,Lama glama guanicoe,-50.992761,-72.80288399999999,1,4.097256,116.0,28.0,688.25,49.2,-0.13,10.3,113.57,29250.0,17280.0,50.0,67.0,3.0,13.96,96.32,4035.96,106.83,37.44,96.0,288.0,48.0,0.028530652,68.0,112.0,19.0,602.0,63.0,38.0,15.0,182.0,126.0,138.0,155.0,90.0,47.0,3632.0,167.0,-22.0,189.0,65.0,93.0
19,1948744292,Lama glama guanicoe,-51.314305,-72.845159,1,1.0177898,120.0,18.0,660.24,42.9,0.08,9.8,138.93,25668.0,12642.0,44.0,56.0,1.0,13.32,92.05,3878.14,102.87,35.84,76.0,214.0,43.0,0.074039355,59.0,101.0,13.0,715.0,78.0,47.0,15.0,214.0,152.0,170.0,178.0,90.0,48.0,3445.0,157.0,-27.0,184.0,57.0,84.0
20,1946332099,Lama glama guanicoe,-50.938865,-72.733875,1,3.3654003,116.0,28.0,691.71,52.48,-0.23,10.45,99.0,28908.0,15046.5,49.0,66.0,3.0,13.95,96.83,4064.93,107.41,37.59,92.0,288.0,48.0,0.056397174,67.0,111.0,17.0,533.0,57.0,33.0,16.0,163.0,109.0,120.0,139.0,91.0,47.0,3687.0,168.0,-24.0,192.0,64.0,93.0
21,1945445782,Lama glama guanicoe,-51.107129,-73.048587,1,3.6041965,120.0,18.0,675.15,31.03,0.22,9.65,172.26,30762.0,17688.0,56.0,70.0,3.0,14.06,69.63,3922.4,104.53,36.83,114.0,214.0,43.0,0.007700536,71.0,112.0,25.0,866.0,90.0,58.0,13.0,255.0,187.0,208.0,216.0,86.0,48.0,3407.0,166.0,-13.0,179.0,69.0,76.0
22,1935605309,Lama glama guanicoe,-26.066914999999998,-65.846828,1,5.6272974,115.0,4.0,1403.78,85.75,-0.86,11.25,27.96,70326.0,70326.0,171.0,150.0,12.0,74.04,68.29,3802.58,157.27,157.27,361.0,63.0,53.0,0.030390894,162.0,209.0,109.0,200.0,52.0,0.0,114.0,143.0,2.0,143.0,3.0,133.0,53.0,3933.0,276.0,28.0,248.0,209.0,111.0
