,Unnamed: 0,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species,dec_lat,dec_lon,coordinates,lonlat,in_dist_polygon,year,month
0,65692,898945,1562878188,,HUMAN_OBSERVATION,2016-02-17 18:35:00+00:00,12.227012,2.219027,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Eudorcas rufifrons,105645,7261425,Eudorcas rufifrons,6,6,POINT (2.219027 12.227012),"(2.219027, 12.227012)",True,2016,2
1,65724,898977,1562882104,,HUMAN_OBSERVATION,2016-02-16 11:14:00+00:00,12.554844,2.71243,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Eudorcas rufifrons,105645,7261425,Eudorcas rufifrons,6,5,POINT (2.71243 12.554844),"(2.71243, 12.554844)",True,2016,2
2,66569,899822,1563442801,,HUMAN_OBSERVATION,2017-04-01 11:11:00+00:00,12.339403,2.406788,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Eudorcas rufifrons,105645,7261425,Eudorcas rufifrons,6,6,POINT (2.406788 12.339403),"(2.406788, 12.339403)",True,2017,4
3,66612,899865,1563443091,,HUMAN_OBSERVATION,2017-04-16 12:17:00+00:00,12.40736,2.610906,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Eudorcas rufifrons,105645,7261425,Eudorcas rufifrons,5,6,POINT (2.610906 12.40736),"(2.610906, 12.40736)",True,2017,4
4,66619,899872,1563443153,,HUMAN_OBSERVATION,2017-05-14 14:27:00+00:00,12.142138,2.420995,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Eudorcas rufifrons,105645,7261425,Eudorcas rufifrons,6,6,POINT (2.420995 12.142138),"(2.420995, 12.142138)",True,2017,5
7,293230,1126483,1836576174,,HUMAN_OBSERVATION,2018-01-13 09:28:00+00:00,12.46997,2.226621,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Eudorcas rufifrons,105645,7261425,Eudorcas rufifrons,5,6,POINT (2.226621 12.46997),"(2.226621, 12.46997)",True,2018,1
8,293236,1126489,1836576224,,HUMAN_OBSERVATION,2018-01-16 15:53:00+00:00,12.588155,2.31783,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Eudorcas rufifrons,105645,7261425,Eudorcas rufifrons,6,5,POINT (2.31783 12.588155),"(2.31783, 12.588155)",True,2018,1
9,293239,1126492,1836576229,,HUMAN_OBSERVATION,2018-01-08 14:39:00+00:00,12.496628,2.327198,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Eudorcas rufifrons,105645,7261425,Eudorcas rufifrons,6,6,POINT (2.327198 12.496628),"(2.327198, 12.496628)",True,2018,1
10,293242,1126495,1836576265,,HUMAN_OBSERVATION,2018-01-16 15:54:00+00:00,12.52927,2.389965,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Eudorcas rufifrons,105645,7261425,Eudorcas rufifrons,5,6,POINT (2.389965 12.52927),"(2.389965, 12.52927)",True,2018,1
13,313006,1146259,1901044091,,HUMAN_OBSERVATION,2018-06-02 01:40:00+00:00,12.355363,2.294069,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Eudorcas rufifrons,105645,7261425,Eudorcas rufifrons,6,6,POINT (2.294069 12.355363),"(2.294069, 12.355363)",True,2018,6
14,313057,1146310,1901044809,,HUMAN_OBSERVATION,2018-03-25 10:16:00+00:00,12.392445,2.460327,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Eudorcas rufifrons,105645,7261425,Eudorcas rufifrons,6,6,POINT (2.460327 12.392445),"(2.460327, 12.392445)",True,2018,3
15,313061,1146314,1901044820,,HUMAN_OBSERVATION,2018-02-26 13:40:00+00:00,12.322798,2.500623,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Eudorcas rufifrons,105645,7261425,Eudorcas rufifrons,6,6,POINT (2.500623 12.322798),"(2.500623, 12.322798)",True,2018,2
16,313067,1146320,1901044839,,HUMAN_OBSERVATION,2018-03-20 17:44:00+00:00,12.577894,2.52023,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Eudorcas rufifrons,105645,7261425,Eudorcas rufifrons,6,5,POINT (2.52023 12.577894),"(2.52023, 12.577894)",True,2018,3
17,313068,1146321,1901044842,,HUMAN_OBSERVATION,2018-02-16 13:50:00+00:00,12.244039,2.5472330000000003,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Eudorcas rufifrons,105645,7261425,Eudorcas rufifrons,6,16,POINT (2.547233 12.244039),"(2.5472330000000003, 12.244039)",True,2018,2
18,313071,1146324,1901044848,,HUMAN_OBSERVATION,2018-01-06 14:26:00+00:00,12.362943,2.290339,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Eudorcas rufifrons,105645,7261425,Eudorcas rufifrons,6,6,POINT (2.290339 12.362943),"(2.290339, 12.362943)",True,2018,1
19,557183,1390436,1065365712,PhysicalObject,PRESERVED_SPECIMEN,1960-01-12 00:00:00+00:00,14.2357,16.48333,7a25f7aa-03fb-4322-aaeb-66719e1a9527,0,Eudorcas rufifrons,105645,7261425,Eudorcas rufifrons,4,5,POINT (16.48333 14.2357),"(16.48333, 14.2357)",True,1960,1
33,656505,1489758,1305313656,,HUMAN_OBSERVATION,2015-05-23 00:00:00+00:00,12.13721,2.65524,fe903576-72e1-446a-b019-479f537adabe,0,Gazella rufifrons,105645,5220155,Eudorcas rufifrons,5,5,POINT (2.65524 12.13721),"(2.65524, 12.13721)",True,2015,5
