,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species
13300,846553,583490713,PhysicalObject,PRESERVED_SPECIMEN,1931-08-03T00:00:00Z,-2.4441536605367102,34.8257913651229,6ce7290f-47f6-4046-8356-371f5b6749df,0,Kobus ellipsiprymnus,106203,5220160,Kobus ellipsiprymnus
13497,846750,583515436,PhysicalObject,PRESERVED_SPECIMEN,1927-06-01T00:00:00Z,-3.58333,35.83333,6ce7290f-47f6-4046-8356-371f5b6749df,0,Kobus ellipsiprymnus,106203,5220160,Kobus ellipsiprymnus
13498,846751,583515441,PhysicalObject,PRESERVED_SPECIMEN,1927-06-01T00:00:00Z,-3.58333,35.83333,6ce7290f-47f6-4046-8356-371f5b6749df,0,Kobus ellipsiprymnus,106203,5220160,Kobus ellipsiprymnus
13499,846752,583515443,PhysicalObject,PRESERVED_SPECIMEN,1927-06-01T00:00:00Z,-3.58333,35.83333,6ce7290f-47f6-4046-8356-371f5b6749df,0,Kobus ellipsiprymnus,106203,5220160,Kobus ellipsiprymnus
13562,846815,583521428,PhysicalObject,PRESERVED_SPECIMEN,1966-01-01T00:00:00Z,-23.57,15.03,6ce7290f-47f6-4046-8356-371f5b6749df,0,Kobus ellipsiprymnus,106203,5220160,Kobus ellipsiprymnus
20909,854162,1677251519,,HUMAN_OBSERVATION,2011-08-16T00:00:00Z,-17.878109,23.303995,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Kobus ellipsiprymnus,106203,5220160,Kobus ellipsiprymnus
20911,854164,1677251524,,HUMAN_OBSERVATION,1989-12-17T00:00:00Z,-2.977327,38.831177000000004,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Kobus ellipsiprymnus defassa,106209,5706379,Kobus ellipsiprymnus
20912,854165,1677251528,,HUMAN_OBSERVATION,2011-08-16T00:00:00Z,-17.832375,25.046082000000002,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Kobus ellipsiprymnus,106203,5220160,Kobus ellipsiprymnus
20913,854166,1677251533,,HUMAN_OBSERVATION,2017-09-04T00:00:00Z,-17.832375,25.046082000000002,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Kobus ellipsiprymnus ellipsiprymnus,106205,7261413,Kobus ellipsiprymnus
20916,854169,1677251546,,HUMAN_OBSERVATION,2011-08-18T00:00:00Z,-17.832375,25.046082000000002,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Kobus ellipsiprymnus,106203,5220160,Kobus ellipsiprymnus
20917,854170,1677251551,,HUMAN_OBSERVATION,1989-12-18T00:00:00Z,-3.01599,38.21067,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Kobus ellipsiprymnus defassa,106209,5706379,Kobus ellipsiprymnus
20918,854171,1677251554,,HUMAN_OBSERVATION,2013-09-26T00:00:00Z,-0.753915,36.348267,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Kobus ellipsiprymnus defassa,106209,5706379,Kobus ellipsiprymnus
20919,854172,1677251557,,HUMAN_OBSERVATION,1989-12-20T00:00:00Z,-2.639218,37.199364,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Kobus ellipsiprymnus defassa,106209,5706379,Kobus ellipsiprymnus
20920,854173,1677251559,,HUMAN_OBSERVATION,2016-11-23T00:00:00Z,-3.5655059999999996,35.748138,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Kobus ellipsiprymnus,106203,5220160,Kobus ellipsiprymnus
20921,854174,1677251567,,HUMAN_OBSERVATION,2016-10-30T00:00:00Z,-24.417767,31.514282,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Kobus ellipsiprymnus,106203,5220160,Kobus ellipsiprymnus
20922,854175,1677251576,,HUMAN_OBSERVATION,1989-12-21T00:00:00Z,-1.5735940000000002,35.202942,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Kobus ellipsiprymnus defassa,106209,5706379,Kobus ellipsiprymnus
20923,854176,1677251578,,HUMAN_OBSERVATION,2017-09-06T00:00:00Z,-17.859175,25.820225,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Kobus ellipsiprymnus ellipsiprymnus,106205,7261413,Kobus ellipsiprymnus
