,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species
13227,846480,583457192,PhysicalObject,PRESERVED_SPECIMEN,1922-01-01T00:00:00Z,60.2497798674555,-127.15622662422301,6ce7290f-47f6-4046-8356-371f5b6749df,0,Ovis dalli,106046,2441118,Ovis dalli
13228,846481,583457194,PhysicalObject,PRESERVED_SPECIMEN,1922-01-01T00:00:00Z,60.2497798674555,-127.15622662422301,6ce7290f-47f6-4046-8356-371f5b6749df,0,Ovis dalli,106046,2441118,Ovis dalli
13229,846482,583457196,PhysicalObject,PRESERVED_SPECIMEN,1922-01-01T00:00:00Z,60.2497798674555,-127.15622662422301,6ce7290f-47f6-4046-8356-371f5b6749df,0,Ovis dalli,106046,2441118,Ovis dalli
13230,846483,583457198,PhysicalObject,PRESERVED_SPECIMEN,1922-01-01T00:00:00Z,60.2497798674555,-127.15622662422301,6ce7290f-47f6-4046-8356-371f5b6749df,0,Ovis dalli,106046,2441118,Ovis dalli
22670,855923,1586101264,,HUMAN_OBSERVATION,2017-06-24T12:26:20Z,61.068511,-138.71112,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli,106046,2441118,Ovis dalli
22733,855986,1586112186,,HUMAN_OBSERVATION,2017-07-16T10:54:00Z,63.114803,-151.19259499999998,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli,106046,2441118,Ovis dalli
22741,855994,1586112872,,HUMAN_OBSERVATION,2017-07-26T14:26:00Z,63.726225,-149.464874,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli,106046,2441118,Ovis dalli
29062,862315,1890035290,,HUMAN_OBSERVATION,2016-08-13T08:29:00Z,68.046173,-149.807965,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli dalli,106048,7261412,Ovis dalli
29065,862318,1890037507,,HUMAN_OBSERVATION,2018-07-04T14:27:00Z,61.11831899999999,-149.51035,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli dalli,106048,7261412,Ovis dalli
29595,862848,1890095251,,HUMAN_OBSERVATION,2015-06-24T20:02:44Z,63.465621,-150.224819,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli,106046,2441118,Ovis dalli
29597,862850,1890095406,,HUMAN_OBSERVATION,2014-08-05T15:50:00Z,60.544807999999996,-149.572441,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli,106046,2441118,Ovis dalli
29615,862868,1890097952,,HUMAN_OBSERVATION,2017-07-21T07:23:00Z,63.717034999999996,-149.23285800000002,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli,106046,2441118,Ovis dalli
29621,862874,1890098299,,HUMAN_OBSERVATION,2014-07-13T16:14:00Z,60.508807999999995,-150.02346,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli,106046,2441118,Ovis dalli
29628,862881,1890098940,,HUMAN_OBSERVATION,2014-08-10T09:37:02Z,63.356625,-150.179876,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli dalli,106048,7261412,Ovis dalli
36089,869342,1880474685,,HUMAN_OBSERVATION,2018-06-05T11:27:34Z,60.070967,-123.01326200000001,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli stonei,106049,4262550,Ovis dalli
36135,869388,1880482270,,HUMAN_OBSERVATION,2013-07-03T13:17:00Z,63.714631000000004,-149.244039,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli dalli,106048,7261412,Ovis dalli
36538,869791,1880540497,,HUMAN_OBSERVATION,2018-06-17T12:46:00Z,63.114638,-151.193848,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli dalli,106048,7261412,Ovis dalli
36833,870086,1880581525,,HUMAN_OBSERVATION,2018-06-23T14:19:00Z,63.748658999999996,-149.345325,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli,106046,2441118,Ovis dalli
36936,870189,1880594976,,HUMAN_OBSERVATION,2014-10-08T16:02:00Z,68.137117,-149.43875400000002,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli dalli,106048,7261412,Ovis dalli
37122,870375,1880620439,,HUMAN_OBSERVATION,2018-06-15T11:04:00Z,61.01566700000001,-138.569806,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli dalli,106048,7261412,Ovis dalli
37125,870378,1880620690,,HUMAN_OBSERVATION,2018-06-15T11:09:00Z,61.01925,-138.533417,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli dalli,106048,7261412,Ovis dalli
37189,870442,1880626458,,HUMAN_OBSERVATION,2018-06-29T14:37:00Z,64.479,-138.244,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli,106046,2441118,Ovis dalli
37409,870662,1880656611,,HUMAN_OBSERVATION,2018-06-21T12:37:00Z,65.066556,-138.29191699999998,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli dalli,106048,7261412,Ovis dalli
37410,870663,1880656663,,HUMAN_OBSERVATION,2018-06-21T12:35:00Z,65.066556,-138.29191699999998,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli dalli,106048,7261412,Ovis dalli
61672,894925,1135355348,,HUMAN_OBSERVATION,2015-08-12T00:00:00Z,61.60724499999999,-142.050304,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli,106046,2441118,Ovis dalli
65618,898871,1562870349,,HUMAN_OBSERVATION,2014-06-07T13:23:48Z,63.727698,-149.43938300000002,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli,106046,2441118,Ovis dalli
66331,899584,1562984366,,HUMAN_OBSERVATION,2017-05-25T14:34:00Z,61.010975,-149.70661299999998,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli,106046,2441118,Ovis dalli
66406,899659,1563428645,,HUMAN_OBSERVATION,2017-05-27T18:04:00Z,60.491659999999996,-149.75094199999998,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli,106046,2441118,Ovis dalli
66970,900223,1847421636,,HUMAN_OBSERVATION,2002-06-19T19:29:00Z,62.382222,-150.222657,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli dalli,106048,7261412,Ovis dalli
70343,903596,1099957283,,HUMAN_OBSERVATION,2013-07-08T15:47:29Z,60.983000000000004,-149.594167,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli,106046,2441118,Ovis dalli
106952,940205,1883495835,,HUMAN_OBSERVATION,2015-06-04T14:38:00Z,63.114803,-151.19259499999998,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli dalli,106048,7261412,Ovis dalli
107471,940724,1883552601,,HUMAN_OBSERVATION,2009-10-11T13:50:00Z,62.753718000000006,-137.281248,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli,106046,2441118,Ovis dalli
114845,948098,1913692998,,HUMAN_OBSERVATION,2018-09-13T16:09:59Z,61.796162,-147.608337,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli,106046,2441118,Ovis dalli
119077,952330,1668882501,,HUMAN_OBSERVATION,2010-06-05T00:00:00Z,59.931225,-149.659202,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli,106046,2441118,Ovis dalli
133922,967175,1890687630,,HUMAN_OBSERVATION,2015-06-24T08:37:00Z,61.00039399999999,-149.620502,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli,106046,2441118,Ovis dalli
203029,1036282,891101200,,HUMAN_OBSERVATION,2012-06-25T00:00:00Z,63.1148,-151.192606,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli,106046,2441118,Ovis dalli
203678,1036931,891739651,,HUMAN_OBSERVATION,2008-05-19T00:00:00Z,63.323471,-150.697754,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli,106046,2441118,Ovis dalli
203842,1037095,891763728,,HUMAN_OBSERVATION,2011-09-09T09:16:28Z,63.53444399999999,-149.840278,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli dalli,106048,7261412,Ovis dalli
203846,1037099,891763827,,HUMAN_OBSERVATION,2011-09-05T15:15:21Z,63.578889000000004,-149.625278,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Ovis dalli dalli,106048,7261412,Ovis dalli
208165,1041418,686331669,PhysicalObject,PRESERVED_SPECIMEN,1896-08-15T00:00:00Z,61.5075036353263,-149.008798095468,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,0,Ovis dalli dalli,106048,7261412,Ovis dalli
208166,1041419,686331670,PhysicalObject,PRESERVED_SPECIMEN,1896-08-15T00:00:00Z,61.5075036353263,-149.008798095468,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,0,Ovis dalli dalli,106048,7261412,Ovis dalli
208167,1041420,686331671,PhysicalObject,PRESERVED_SPECIMEN,1896-08-15T00:00:00Z,61.5075036353263,-149.008798095468,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,0,Ovis dalli dalli,106048,7261412,Ovis dalli
208168,1041421,686331672,PhysicalObject,PRESERVED_SPECIMEN,1896-08-15T00:00:00Z,61.5075036353263,-149.008798095468,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,0,Ovis dalli dalli,106048,7261412,Ovis dalli
208169,1041422,686331673,PhysicalObject,PRESERVED_SPECIMEN,1896-08-15T00:00:00Z,61.5075036353263,-149.008798095468,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,0,Ovis dalli dalli,106048,7261412,Ovis dalli
