,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species
787209,1620462,1427546342,,HUMAN_OBSERVATION,2014-09-19T00:00:00Z,0.996444,-77.127972,2229752a-7d50-4632-a338-0930a6d792d1,0,Tapirus pinchaque,104934,2440899,Tapirus pinchaque
787280,1620533,1880517941,,HUMAN_OBSERVATION,2018-06-18T00:00:00Z,-0.29875100000000004,-78.12791,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Tapirus pinchaque,104934,2440899,Tapirus pinchaque
787618,1620871,1147174350,Sound,MACHINE_OBSERVATION,1993-01-22T00:00:00Z,-0.433,-78.483,7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1,0,Tapirus pinchaque,104934,2440899,Tapirus pinchaque
788116,1621369,1802659128,,HUMAN_OBSERVATION,2017-12-03T14:42:00Z,-0.354275,-78.01363,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Tapirus pinchaque,104934,2440899,Tapirus pinchaque
789221,1622474,1677256042,,HUMAN_OBSERVATION,2008-11-21T00:00:00Z,4.658389,-75.42931,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Tapirus pinchaque,104934,2440899,Tapirus pinchaque
789395,1622648,1891304532,,HUMAN_OBSERVATION,2017-04-06T07:26:00Z,2.221482,-76.277292,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Tapirus pinchaque,104934,2440899,Tapirus pinchaque
791683,1624936,865748777,,PRESERVED_SPECIMEN,1969-03-15T00:00:00Z,1.87936,-76.69865,5a659248-1f70-11e3-b2c5-00145eb45e9a,0,Tapirus pinchaque,104934,2440899,Tapirus pinchaque
791684,1624937,865748782,,PRESERVED_SPECIMEN,1968-05-15T00:00:00Z,1.87936,-76.69865,5a659248-1f70-11e3-b2c5-00145eb45e9a,0,Tapirus pinchaque,104934,2440899,Tapirus pinchaque
791685,1624938,865748799,,PRESERVED_SPECIMEN,1968-08-05T00:00:00Z,-1.21694,-78.25005,5a659248-1f70-11e3-b2c5-00145eb45e9a,0,Tapirus pinchaque,104934,2440899,Tapirus pinchaque
792241,1625494,665876999,PhysicalObject,PRESERVED_SPECIMEN,1958-12-03T00:00:00Z,1.833333,-76.583333,41fc5c40-5e81-496f-9733-6b5681b3b7a5,0,Tapirus pinchaque,104934,2440899,Tapirus pinchaque
792247,1625500,665883386,PhysicalObject,PRESERVED_SPECIMEN,1936-01-01T00:00:00Z,-0.216667,-78.25,41fc5c40-5e81-496f-9733-6b5681b3b7a5,0,Tapirus pinchaque,104934,2440899,Tapirus pinchaque
792283,1625536,665915596,PhysicalObject,PRESERVED_SPECIMEN,1951-10-21T00:00:00Z,1.947139,-76.396675,41fc5c40-5e81-496f-9733-6b5681b3b7a5,0,Tapirus pinchaque,104934,2440899,Tapirus pinchaque
792284,1625537,665915898,PhysicalObject,PRESERVED_SPECIMEN,1958-01-13T00:00:00Z,1.833333,-76.583333,41fc5c40-5e81-496f-9733-6b5681b3b7a5,0,Tapirus pinchaque,104934,2440899,Tapirus pinchaque
792578,1625831,1291669687,,HUMAN_OBSERVATION,2014-10-02T16:28:00Z,-3.101066,-78.643011,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Tapirus pinchaque,104934,2440899,Tapirus pinchaque
792744,1625997,1640044026,,HUMAN_OBSERVATION,2017-08-03T08:21:00Z,-0.474797,-77.975943,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Tapirus pinchaque,104934,2440899,Tapirus pinchaque
793332,1626585,665832976,PhysicalObject,PRESERVED_SPECIMEN,1951-10-21T00:00:00Z,1.947139,-76.396675,41fc5c40-5e81-496f-9733-6b5681b3b7a5,0,Tapirus pinchaque,104934,2440899,Tapirus pinchaque
