,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species
234775,1068028,1133412335,,FOSSIL_SPECIMEN,1987-04-06T00:00:00Z,29.28,-82.38,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
238141,1071394,1133523692,,FOSSIL_SPECIMEN,2001-05-14T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
238388,1071641,1133525789,,FOSSIL_SPECIMEN,2001-12-09T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
238390,1071643,1133525791,,FOSSIL_SPECIMEN,2002-05-07T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
238394,1071647,1133525795,,FOSSIL_SPECIMEN,2001-11-16T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
238395,1071648,1133525796,,FOSSIL_SPECIMEN,2001-05-08T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
238396,1071649,1133525797,,FOSSIL_SPECIMEN,2001-11-24T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
238398,1071651,1133525799,,FOSSIL_SPECIMEN,2001-11-09T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
238403,1071656,1133525804,,FOSSIL_SPECIMEN,2001-05-15T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
238406,1071659,1133525807,,FOSSIL_SPECIMEN,2002-04-22T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
238407,1071660,1133525809,,FOSSIL_SPECIMEN,2002-05-13T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
238408,1071661,1133525810,,FOSSIL_SPECIMEN,2002-03-25T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
238420,1071673,1133525822,,FOSSIL_SPECIMEN,2001-12-15T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
238429,1071682,1133525831,,FOSSIL_SPECIMEN,2001-05-17T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
238439,1071692,1133525841,,FOSSIL_SPECIMEN,2002-04-23T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
239338,1072591,1133530904,,FOSSIL_SPECIMEN,2003-11-16T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
239339,1072592,1133530921,,FOSSIL_SPECIMEN,2003-11-15T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
239340,1072593,1133530923,,FOSSIL_SPECIMEN,2003-11-05T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
239342,1072595,1133530937,,FOSSIL_SPECIMEN,2003-12-04T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
239904,1073157,1133537851,,FOSSIL_SPECIMEN,2004-12-05T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
239906,1073159,1133537853,,FOSSIL_SPECIMEN,2003-12-03T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
239908,1073161,1133537855,,FOSSIL_SPECIMEN,2004-11-16T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
239909,1073162,1133537858,,FOSSIL_SPECIMEN,2004-12-07T00:00:00Z,29.7,-82.62,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
239925,1073178,1133539032,,FOSSIL_SPECIMEN,1985-09-15T00:00:00Z,29.55,-82.52,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
239984,1073237,1133545767,,FOSSIL_SPECIMEN,2008-04-27T00:00:00Z,29.68,-82.56,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
239986,1073239,1133545784,,FOSSIL_SPECIMEN,2008-04-27T00:00:00Z,29.68,-82.56,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
239987,1073240,1133545797,,FOSSIL_SPECIMEN,2008-04-27T00:00:00Z,29.68,-82.56,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
239989,1073242,1133545812,,FOSSIL_SPECIMEN,2008-04-27T00:00:00Z,29.68,-82.56,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
240003,1073256,1133548097,,FOSSIL_SPECIMEN,2008-06-13T00:00:00Z,29.68,-82.56,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
240004,1073257,1133548098,,FOSSIL_SPECIMEN,2008-06-13T00:00:00Z,29.68,-82.56,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Hemiauchenia minima,107219,4970355,Auchenia minimus
