,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species
785580,1618833,921587860,,HUMAN_OBSERVATION,2013-10-14T00:00:00Z,39.785126,3.086729,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Equus caballus caballus,104897,7262085,Equus caballus
785581,1618834,921587861,,HUMAN_OBSERVATION,2012-04-13T00:00:00Z,51.835381,7.132358999999999,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Equus caballus caballus,104897,7262085,Equus caballus
785599,1618852,921587963,,HUMAN_OBSERVATION,2011-12-19T00:00:00Z,-38.046986,-62.024338,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Equus caballus caballus,104897,7262085,Equus caballus
785617,1618870,921588065,,HUMAN_OBSERVATION,2010-07-17T00:00:00Z,44.782505,26.487522,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Equus caballus caballus,104897,7262085,Equus caballus
785620,1618873,921588087,,HUMAN_OBSERVATION,2012-05-22T00:00:00Z,51.176502,14.432479,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Equus caballus caballus,104897,7262085,Equus caballus
785621,1618874,921588095,,HUMAN_OBSERVATION,2012-07-28T00:00:00Z,49.840126,8.414497,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Equus caballus caballus,104897,7262085,Equus caballus
785631,1618884,921588148,,HUMAN_OBSERVATION,2013-05-02T00:00:00Z,51.835381,7.132358999999999,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Equus caballus caballus,104897,7262085,Equus caballus
785638,1618891,921588210,,HUMAN_OBSERVATION,2009-05-16T00:00:00Z,39.789806,3.109388,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Equus caballus caballus,104897,7262085,Equus caballus
785640,1618893,921588216,,HUMAN_OBSERVATION,2011-03-04T00:00:00Z,52.444088,5.408765,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Equus caballus caballus,104897,7262085,Equus caballus
785641,1618894,921588224,,HUMAN_OBSERVATION,2012-02-17T00:00:00Z,52.444088,5.408765,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Equus caballus caballus,104897,7262085,Equus caballus
785649,1618902,921588261,,HUMAN_OBSERVATION,2012-07-29T00:00:00Z,49.846066,8.526936,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Equus caballus caballus,104897,7262085,Equus caballus
785670,1618923,921588400,,HUMAN_OBSERVATION,2012-04-20T00:00:00Z,54.130463,8.943214,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Equus caballus caballus,104897,7262085,Equus caballus
