,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species
13365,846618,583509771,PhysicalObject,PRESERVED_SPECIMEN,1972-01-01T00:00:00Z,36.6513498247193,-110.760785875266,6ce7290f-47f6-4046-8356-371f5b6749df,0,Ovis aries,106027,2441110,Ovis aries
13582,846835,1074443627,,HUMAN_OBSERVATION,1996-12-01T00:00:00Z,-28.734184999999997,149.604924,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13585,846838,1074443723,,HUMAN_OBSERVATION,1996-12-01T00:00:00Z,-28.73123,149.52297099999998,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13590,846843,1074444433,,HUMAN_OBSERVATION,1996-09-01T00:00:00Z,-29.252889,148.400823,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13690,846943,1074528532,,HUMAN_OBSERVATION,1995-07-25T00:00:00Z,-32.649999,152.020147,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13746,846999,1074550908,,HUMAN_OBSERVATION,1992-03-01T00:00:00Z,-28.805533,152.185365,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13801,847054,1074578037,,HUMAN_OBSERVATION,1996-01-01T00:00:00Z,-35.670636,149.374482,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13858,847111,1074591763,,HUMAN_OBSERVATION,1995-09-05T00:00:00Z,-33.430568,141.002383,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13915,847168,1074601846,,HUMAN_OBSERVATION,1997-03-30T00:00:00Z,-33.405648,148.463735,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13929,847182,1074602911,,HUMAN_OBSERVATION,1998-03-01T00:00:00Z,-31.985560999999997,144.92916499999998,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13932,847185,1074602976,,HUMAN_OBSERVATION,1998-03-01T00:00:00Z,-32.068490000000004,145.036023,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13936,847189,1074603027,,HUMAN_OBSERVATION,1998-02-01T00:00:00Z,-31.113485999999998,145.314327,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13940,847193,1074603137,,HUMAN_OBSERVATION,1998-02-01T00:00:00Z,-31.337612,145.318319,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13942,847195,1074603184,,HUMAN_OBSERVATION,1998-02-01T00:00:00Z,-31.390926,145.336319,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13943,847196,1074603197,,HUMAN_OBSERVATION,1998-02-01T00:00:00Z,-31.134789,145.341701,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13944,847197,1074603253,,HUMAN_OBSERVATION,1998-02-01T00:00:00Z,-31.441322999999997,145.346529,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13945,847198,1074603270,,HUMAN_OBSERVATION,1998-02-01T00:00:00Z,-31.220404,145.37098500000002,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13947,847200,1074603376,,HUMAN_OBSERVATION,1998-02-01T00:00:00Z,-31.199085999999998,145.380837,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13948,847201,1074603428,,HUMAN_OBSERVATION,1998-02-01T00:00:00Z,-31.184134999999998,145.407367,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13949,847202,1074603454,,HUMAN_OBSERVATION,1998-02-01T00:00:00Z,-31.485831,145.41496999999998,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13950,847203,1074603480,,HUMAN_OBSERVATION,1998-02-01T00:00:00Z,-31.130271999999998,145.429662,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13951,847204,1074603532,,HUMAN_OBSERVATION,1998-02-01T00:00:00Z,-31.512576,145.425754,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13952,847205,1074603554,,HUMAN_OBSERVATION,1998-02-01T00:00:00Z,-31.125087,145.46053700000002,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13978,847231,1074604609,,HUMAN_OBSERVATION,1998-03-01T00:00:00Z,-30.13474,146.216127,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13982,847235,1074604713,,HUMAN_OBSERVATION,1998-03-01T00:00:00Z,-30.127347999999998,146.265849,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13985,847238,1074604865,,HUMAN_OBSERVATION,1998-01-01T00:00:00Z,-31.753770000000003,146.678014,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13987,847240,1074604896,,HUMAN_OBSERVATION,1998-01-01T00:00:00Z,-31.738489,146.701345,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13988,847241,1074605012,,HUMAN_OBSERVATION,1998-01-01T00:00:00Z,-31.798556,146.760003,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13989,847242,1074605041,,HUMAN_OBSERVATION,1998-01-01T00:00:00Z,-31.690188,146.788772,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13992,847245,1074605173,,HUMAN_OBSERVATION,1998-01-01T00:00:00Z,-31.646175,146.842945,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
13994,847247,1074605364,,HUMAN_OBSERVATION,1998-04-01T00:00:00Z,-32.753947,146.969663,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14004,847257,1074608684,,HUMAN_OBSERVATION,1997-03-06T00:00:00Z,-33.069497999999996,148.361737,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14019,847272,1074610605,,HUMAN_OBSERVATION,1997-11-05T00:00:00Z,-32.817111,148.347193,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14023,847276,1074610919,,HUMAN_OBSERVATION,1997-12-02T00:00:00Z,-32.854496000000005,148.392639,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14068,847321,1074645635,,HUMAN_OBSERVATION,2000-01-15T00:00:00Z,-30.834196999999996,149.761807,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14076,847329,1074646626,,HUMAN_OBSERVATION,1999-11-17T00:00:00Z,-30.625557,148.819744,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14079,847332,1074646719,,HUMAN_OBSERVATION,1999-11-17T00:00:00Z,-30.641703999999997,148.826307,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14080,847333,1074646749,,HUMAN_OBSERVATION,1999-11-18T00:00:00Z,-30.618407,148.830344,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14082,847335,1074647266,,HUMAN_OBSERVATION,1999-11-16T00:00:00Z,-30.690614,148.913033,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14145,847398,1074671339,,HUMAN_OBSERVATION,2003-01-29T00:00:00Z,-32.303074,148.71125,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14218,847471,1074702045,,HUMAN_OBSERVATION,2005-11-01T00:00:00Z,-32.997984,150.21651699999998,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14276,847529,1074726725,,HUMAN_OBSERVATION,2002-12-01T00:00:00Z,-33.27296,149.706784,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14281,847534,1074726917,,HUMAN_OBSERVATION,2003-05-30T00:00:00Z,-33.336496000000004,149.687267,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14285,847538,1074727067,,HUMAN_OBSERVATION,2003-05-14T00:00:00Z,-33.200427000000005,149.961921,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14286,847539,1074727253,,HUMAN_OBSERVATION,2003-09-05T00:00:00Z,-33.558952000000005,149.527223,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14347,847600,1074765097,,HUMAN_OBSERVATION,2000-09-30T00:00:00Z,-35.857171,146.54231000000001,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14348,847601,1074765249,,HUMAN_OBSERVATION,2000-09-30T00:00:00Z,-35.858983,146.535178,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14349,847602,1074765523,,HUMAN_OBSERVATION,2000-09-30T00:00:00Z,-35.743159999999996,146.409607,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14357,847610,1074768749,,HUMAN_OBSERVATION,2009-04-02T00:00:00Z,-29.048246000000002,146.99678899999998,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14452,847705,1074784341,,HUMAN_OBSERVATION,2003-12-10T00:00:00Z,-33.622414,150.099518,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14453,847706,1074784550,,HUMAN_OBSERVATION,2003-12-13T00:00:00Z,-33.551097,150.050763,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14454,847707,1074784685,,HUMAN_OBSERVATION,2003-12-17T00:00:00Z,-33.726569,149.917959,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14456,847709,1074784958,,HUMAN_OBSERVATION,2003-12-21T00:00:00Z,-33.773914000000005,149.906103,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14458,847711,1074785154,,HUMAN_OBSERVATION,2003-12-23T00:00:00Z,-33.888929,149.910402,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14462,847715,1074785355,,HUMAN_OBSERVATION,2004-06-01T00:00:00Z,-33.617573,147.36776,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14463,847716,1074785369,,HUMAN_OBSERVATION,2004-03-01T00:00:00Z,-31.378809000000004,146.731968,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14464,847717,1074785409,,HUMAN_OBSERVATION,2004-11-01T00:00:00Z,-33.617573,147.36776,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14465,847718,1074785572,,HUMAN_OBSERVATION,2004-01-01T00:00:00Z,-33.592839,149.501278,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14488,847741,1074794247,,HUMAN_OBSERVATION,2004-11-28T00:00:00Z,-35.198417,149.22556799999998,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14522,847775,1074837992,,HUMAN_OBSERVATION,2005-04-23T00:00:00Z,-33.219466,149.204601,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14523,847776,1074837995,,HUMAN_OBSERVATION,2005-04-24T00:00:00Z,-33.231221000000005,149.204295,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14524,847777,1074838029,,HUMAN_OBSERVATION,2005-04-24T00:00:00Z,-33.238493,149.201033,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14712,847965,1074901201,,HUMAN_OBSERVATION,1994-12-13T00:00:00Z,-30.969834999999996,150.643131,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14714,847967,1074901336,,HUMAN_OBSERVATION,1997-10-03T00:00:00Z,-35.665036,146.80016,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14719,847972,1074903063,,HUMAN_OBSERVATION,1994-04-01T00:00:00Z,-33.636639,147.38668700000002,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14745,847998,1074990070,,HUMAN_OBSERVATION,1979-05-26T00:00:00Z,-35.339093,148.20618100000002,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14747,848000,1074990179,,HUMAN_OBSERVATION,1981-10-01T00:00:00Z,-36.560034,148.638325,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
14759,848012,1074993685,,HUMAN_OBSERVATION,1979-01-10T00:00:00Z,-35.841347,147.595881,0645ccdb-e001-4ab0-9729-51f1755e007e,0,Ovis aries,106027,2441110,Ovis aries
