,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species
22113,855366,1320659796,PhysicalObject,PRESERVED_SPECIMEN,1971-07-13T00:00:00Z,6.22,-8.13,821cc27a-e3bb-4bc5-ac34-89ada245069d,0,Cephalophus dorsalis dorsalis,106086,4262458,Cephalophus dorsalis
22116,855369,1320665221,PhysicalObject,PRESERVED_SPECIMEN,1971-07-10T00:00:00Z,6.22,-8.13,821cc27a-e3bb-4bc5-ac34-89ada245069d,0,Cephalophus dorsalis dorsalis,106086,4262458,Cephalophus dorsalis
116852,950105,1321601011,PhysicalObject,PRESERVED_SPECIMEN,1971-07-06T00:00:00Z,6.22,-8.13,821cc27a-e3bb-4bc5-ac34-89ada245069d,0,Cephalophus dorsalis dorsalis,106086,4262458,Cephalophus dorsalis
132344,965597,1890646407,,HUMAN_OBSERVATION,2015-12-11T00:00:00Z,5.252316,-8.575849,43f9dcb0-80e1-40ec-906f-93a186e993b2,0,Cephalophus dorsalis,106084,2441158,Cephalophus dorsalis
132349,965602,1890646421,,HUMAN_OBSERVATION,2015-12-10T00:00:00Z,5.266637,-8.551184,43f9dcb0-80e1-40ec-906f-93a186e993b2,0,Cephalophus dorsalis,106084,2441158,Cephalophus dorsalis
132356,965609,1890646445,,HUMAN_OBSERVATION,2015-12-11T00:00:00Z,5.250948999999999,-8.573891,43f9dcb0-80e1-40ec-906f-93a186e993b2,0,Cephalophus dorsalis,106084,2441158,Cephalophus dorsalis
132357,965610,1890646447,,HUMAN_OBSERVATION,2015-12-10T00:00:00Z,5.2666010000000005,-8.551013000000001,43f9dcb0-80e1-40ec-906f-93a186e993b2,0,Cephalophus dorsalis,106084,2441158,Cephalophus dorsalis
132374,965627,1890646471,,HUMAN_OBSERVATION,2015-12-18T00:00:00Z,5.269698,-8.554657,43f9dcb0-80e1-40ec-906f-93a186e993b2,0,Cephalophus dorsalis,106084,2441158,Cephalophus dorsalis
132378,965631,1890646475,,HUMAN_OBSERVATION,2015-12-11T00:00:00Z,5.261234,-8.586654,43f9dcb0-80e1-40ec-906f-93a186e993b2,0,Cephalophus dorsalis,106084,2441158,Cephalophus dorsalis
132379,965632,1890646477,,HUMAN_OBSERVATION,2015-12-19T00:00:00Z,5.268376,-8.552762,43f9dcb0-80e1-40ec-906f-93a186e993b2,0,Cephalophus dorsalis,106084,2441158,Cephalophus dorsalis
132382,965635,1890646480,,HUMAN_OBSERVATION,2015-12-18T00:00:00Z,5.276398,-8.563252,43f9dcb0-80e1-40ec-906f-93a186e993b2,0,Cephalophus dorsalis,106084,2441158,Cephalophus dorsalis
