,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species
20469,853722,1676831833,,HUMAN_OBSERVATION,2016-11-19T00:00:00Z,-3.264262,36.852951000000004,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Cephalophus harveyi,106096,2441166,Cephalophus natalensis
29093,862346,1890043175,,HUMAN_OBSERVATION,2018-07-27T09:29:00Z,-28.691038,31.99175,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis,106093,2441168,Cephalophus natalensis
29155,862408,1890051349,,HUMAN_OBSERVATION,2017-12-31T18:20:00Z,-28.308441,32.574776,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
29338,862591,1890070827,,HUMAN_OBSERVATION,2007-01-18T09:28:00Z,-27.06918,32.425412,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
29352,862605,1890070888,,HUMAN_OBSERVATION,2007-01-18T08:19:00Z,-27.002884,32.448381,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis,106093,2441168,Cephalophus natalensis
29382,862635,1890071080,,HUMAN_OBSERVATION,2007-01-16T08:33:00Z,-28.246087,32.237553000000005,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
36660,869913,1880558226,,HUMAN_OBSERVATION,2018-06-03T12:23:00Z,-28.243557,32.516996,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
36806,870059,1880577834,,HUMAN_OBSERVATION,2018-05-12T15:49:00Z,-28.363542,32.487533,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
36807,870060,1880577845,,HUMAN_OBSERVATION,2018-05-12T15:49:00Z,-28.370933,32.59341,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
37243,870496,1880634087,,HUMAN_OBSERVATION,2010-08-27T09:50:00Z,-28.957956,31.777029,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
62205,895458,1899764902,,HUMAN_OBSERVATION,2018-08-11T16:27:00Z,-28.123327000000003,32.540454,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
62398,895651,1899793376,,HUMAN_OBSERVATION,2018-08-28T07:04:42Z,-7.057010000000001,39.545103999999995,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus harveyi,106096,2441166,Cephalophus natalensis
67128,900381,1847451934,,HUMAN_OBSERVATION,2014-08-08T13:06:00Z,-28.368746,32.56321,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis,106093,2441168,Cephalophus natalensis
108179,941432,1883929370,,HUMAN_OBSERVATION,2018-07-09T14:14:00Z,-28.582057,32.419908,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
108428,941681,1883960848,,HUMAN_OBSERVATION,2017-07-02T14:48:00Z,-28.358581,32.557609,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
208676,1041929,686370593,PhysicalObject,PRESERVED_SPECIMEN,1950-11-17T00:00:00Z,-18.8140094772489,22.4198723635782,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,0,Cephalophus natalensis,106093,2441168,Cephalophus natalensis
209267,1042520,686484505,PhysicalObject,PRESERVED_SPECIMEN,1979-07-01T00:00:00Z,-28.9050245879876,30.619907948312804,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,0,Cephalophus natalensis,106093,2441168,Cephalophus natalensis
218651,1051904,1322997773,,HUMAN_OBSERVATION,2011-02-07T12:17:00Z,-5.117361,38.589478,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus harveyi,106096,2441166,Cephalophus natalensis
223834,1057087,1436953444,PhysicalObject,PRESERVED_SPECIMEN,1894-01-01T00:00:00Z,-29.85,31.016666999999998,8138eb72-f762-11e1-a439-00145eb45e9a,0,Cephalophus natalensis,106093,2441168,Cephalophus natalensis
274908,1108161,1831102111,,HUMAN_OBSERVATION,2014-09-06T05:56:09Z,-3.252951,36.792526,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus harveyi,106096,2441166,Cephalophus natalensis
291879,1125132,665755868,PhysicalObject,PRESERVED_SPECIMEN,2005-07-24T00:00:00Z,-7.3953169999999995,37.30465,41fc5c40-5e81-496f-9733-6b5681b3b7a5,0,Cephalophus harveyi,106096,2441166,Cephalophus natalensis
309556,1142809,1806006966,,HUMAN_OBSERVATION,2017-11-14T00:00:00Z,-3.264262,36.852951000000004,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Cephalophus natalensis,106093,2441168,Cephalophus natalensis
309559,1142812,1806007006,,HUMAN_OBSERVATION,2017-11-28T00:00:00Z,-7.672205,38.085823,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Cephalophus natalensis,106093,2441168,Cephalophus natalensis
311821,1145074,1453235883,,HUMAN_OBSERVATION,2009-09-16T00:00:00Z,-26.997613,32.447026,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis,106093,2441168,Cephalophus natalensis
313100,1146353,1901047113,,HUMAN_OBSERVATION,2018-09-01T16:09:00Z,-28.21645,32.421352,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
313661,1146914,1920813617,,HUMAN_OBSERVATION,2018-08-29T20:38:00Z,-28.945301,31.68208,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
330598,1163851,1891293748,,HUMAN_OBSERVATION,2018-04-21T05:10:00Z,-3.2453220000000003,36.830032,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus harveyi,106096,2441166,Cephalophus natalensis
380590,1213843,1500302848,,HUMAN_OBSERVATION,2017-04-17T00:25:00Z,-28.312649,32.517302,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis,106093,2441168,Cephalophus natalensis
384885,1218138,1850908161,,HUMAN_OBSERVATION,2018-05-27T15:58:00Z,-28.242079999999998,32.383732,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis,106093,2441168,Cephalophus natalensis
399174,1232427,920992730,,HUMAN_OBSERVATION,2011-06-10T00:00:00Z,-3.264262,36.852951000000004,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Cephalophus harveyi,106096,2441166,Cephalophus natalensis
399199,1232452,920994487,,HUMAN_OBSERVATION,2013-01-17T00:00:00Z,-2.436428,34.820568,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Cephalophus natalensis,106093,2441168,Cephalophus natalensis
399261,1232514,920998193,,HUMAN_OBSERVATION,2012-09-10T00:00:00Z,-3.264262,36.852951000000004,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Cephalophus harveyi,106096,2441166,Cephalophus natalensis
399601,1232854,921018515,,HUMAN_OBSERVATION,2001-07-18T00:00:00Z,-27.797471999999996,32.238636,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Cephalophus natalensis,106093,2441168,Cephalophus natalensis
399731,1232984,921026807,,HUMAN_OBSERVATION,2005-09-28T00:00:00Z,-24.046464999999998,31.420897999999998,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Cephalophus natalensis,106093,2441168,Cephalophus natalensis
402037,1235290,1839221127,,HUMAN_OBSERVATION,2016-07-05T00:00:00Z,-28.35176,32.575888,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
402192,1235445,1839231526,,HUMAN_OBSERVATION,2016-08-08T00:00:00Z,-28.19562,32.433505,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
402207,1235460,1839233801,,HUMAN_OBSERVATION,2016-08-20T00:00:00Z,-28.316440000000004,32.410586,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
402225,1235478,1839235340,,HUMAN_OBSERVATION,2016-11-16T00:00:00Z,-27.332905,32.790081,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
402983,1236236,1838332195,,HUMAN_OBSERVATION,2011-12-31T00:00:00Z,-28.875647999999998,31.788744,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
403066,1236319,1838337912,,HUMAN_OBSERVATION,2013-09-12T00:00:00Z,-28.550931,32.407132,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
403068,1236321,1838337924,,HUMAN_OBSERVATION,2013-09-12T00:00:00Z,-28.291733,32.507787,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
403073,1236326,1838337984,,HUMAN_OBSERVATION,2013-09-12T00:00:00Z,-28.084377000000003,32.447666,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
403268,1236521,1838349545,,HUMAN_OBSERVATION,2014-07-18T00:00:00Z,-27.479108,32.674793,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
403378,1236631,1838356518,,HUMAN_OBSERVATION,2014-08-01T00:00:00Z,-28.967809999999997,31.777479999999997,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
403380,1236633,1838356696,,HUMAN_OBSERVATION,2014-08-02T00:00:00Z,-28.991864,31.659202,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
403400,1236653,1838357136,,HUMAN_OBSERVATION,2014-08-07T00:00:00Z,-28.244011999999998,32.587596999999995,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
403666,1236919,1838372448,,HUMAN_OBSERVATION,2014-01-10T00:00:00Z,-3.973267,35.665226000000004,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus harveyi,106096,2441166,Cephalophus natalensis
403686,1236939,1838373227,,HUMAN_OBSERVATION,2012-10-27T00:00:00Z,-28.25805,32.467706,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
403901,1237154,1838384387,,HUMAN_OBSERVATION,2014-10-30T00:00:00Z,-27.549914,32.646457,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
403953,1237206,1838388189,,HUMAN_OBSERVATION,2015-03-21T00:00:00Z,-28.89133,31.711474,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus natalensis natalensis,106095,7261399,Cephalophus natalensis
