,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species
233373,1066626,1133272167,,FOSSIL_SPECIMEN,1978-07-05T00:00:00Z,27.81,-81.85,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Kyptoceras amatorum,107240,4970492,Kyptoceras amatorum
234725,1067978,1133407745,,FOSSIL_SPECIMEN,1985-11-27T00:00:00Z,27.8,-82.03,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Kyptoceras amatorum,107240,4970492,Kyptoceras amatorum
234736,1067989,1133410778,,FOSSIL_SPECIMEN,1986-09-24T00:00:00Z,27.65,-81.86,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Kyptoceras amatorum,107240,4970492,Kyptoceras amatorum
234743,1067996,1133410797,,FOSSIL_SPECIMEN,1986-09-24T00:00:00Z,27.65,-81.86,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Kyptoceras amatorum,107240,4970492,Kyptoceras amatorum
234744,1067997,1133410801,,FOSSIL_SPECIMEN,1986-09-24T00:00:00Z,27.65,-81.86,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Kyptoceras amatorum,107240,4970492,Kyptoceras amatorum
234755,1068008,1133412128,,FOSSIL_SPECIMEN,1986-09-24T00:00:00Z,27.65,-81.86,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Kyptoceras amatorum,107240,4970492,Kyptoceras amatorum
234759,1068012,1133412139,,FOSSIL_SPECIMEN,1986-09-24T00:00:00Z,27.65,-81.86,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Kyptoceras amatorum,107240,4970492,Kyptoceras amatorum
234760,1068013,1133412140,,FOSSIL_SPECIMEN,1986-09-24T00:00:00Z,27.65,-81.86,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Kyptoceras amatorum,107240,4970492,Kyptoceras amatorum
234764,1068017,1133412145,,FOSSIL_SPECIMEN,1986-09-24T00:00:00Z,27.65,-81.86,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Kyptoceras amatorum,107240,4970492,Kyptoceras amatorum
234832,1068085,1133418753,,FOSSIL_SPECIMEN,1987-02-28T00:00:00Z,27.65,-81.86,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Kyptoceras amatorum,107240,4970492,Kyptoceras amatorum
