,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species
13294,846547,583490684,PhysicalObject,PRESERVED_SPECIMEN,1930-05-26T00:00:00Z,-3.4,38.13333,6ce7290f-47f6-4046-8356-371f5b6749df,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
13295,846548,583490687,PhysicalObject,PRESERVED_SPECIMEN,1930-06-02T00:00:00Z,-3.4,38.13333,6ce7290f-47f6-4046-8356-371f5b6749df,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
13296,846549,583490690,PhysicalObject,PRESERVED_SPECIMEN,1931-09-28T00:00:00Z,-2.08333,33.95,6ce7290f-47f6-4046-8356-371f5b6749df,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
13450,846703,583512291,PhysicalObject,PRESERVED_SPECIMEN,1959-08-07T00:00:00Z,-2.08333,34.61667,6ce7290f-47f6-4046-8356-371f5b6749df,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
13451,846704,583512294,PhysicalObject,PRESERVED_SPECIMEN,1959-08-08T00:00:00Z,-2.08333,34.61667,6ce7290f-47f6-4046-8356-371f5b6749df,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
13478,846731,583515364,PhysicalObject,PRESERVED_SPECIMEN,1927-06-01T00:00:00Z,-3.58333,35.83333,6ce7290f-47f6-4046-8356-371f5b6749df,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
13479,846732,583515366,PhysicalObject,PRESERVED_SPECIMEN,1927-06-01T00:00:00Z,-3.58333,35.83333,6ce7290f-47f6-4046-8356-371f5b6749df,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
13480,846733,583515369,PhysicalObject,PRESERVED_SPECIMEN,1927-06-01T00:00:00Z,-3.58333,35.83333,6ce7290f-47f6-4046-8356-371f5b6749df,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
68653,901906,1586916048,,HUMAN_OBSERVATION,2017-07-15T00:00:00Z,-0.35018699999999997,36.083221,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
68654,901907,1586916474,,HUMAN_OBSERVATION,2017-07-20T00:00:00Z,-2.639218,37.199364,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
68655,901908,1586917897,,HUMAN_OBSERVATION,2017-07-10T00:00:00Z,-0.457301,36.719055,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
68658,901911,1586919860,,HUMAN_OBSERVATION,2017-07-18T00:00:00Z,-1.5735940000000002,35.202942,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
68659,901912,1586919863,,HUMAN_OBSERVATION,2017-07-12T00:00:00Z,0.009699,36.938953000000005,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
81725,914978,1039515342,PhysicalObject,PRESERVED_SPECIMEN,1965-02-11T00:00:00Z,-1.2167,35.4667,854f602e-f762-11e1-a439-00145eb45e9a,0,Taurotragus oryx livingstonei,105883,5706356,Taurotragus oryx
81837,915090,1039523360,PhysicalObject,PRESERVED_SPECIMEN,1965-02-10T00:00:00Z,-1.2167,35.4667,854f602e-f762-11e1-a439-00145eb45e9a,0,Taurotragus oryx livingstonei,105883,5706356,Taurotragus oryx
81864,915117,1039525275,PhysicalObject,PRESERVED_SPECIMEN,1965-02-11T00:00:00Z,-1.2167,35.4667,854f602e-f762-11e1-a439-00145eb45e9a,0,Taurotragus oryx livingstonei,105883,5706356,Taurotragus oryx
108034,941287,1883870483,,HUMAN_OBSERVATION,2018-06-10T00:00:00Z,-18.813225,17.213010999999998,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
115918,949171,1914289892,,HUMAN_OBSERVATION,2018-08-26T00:00:00Z,-10.612744000000001,33.756454,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
119382,952635,1668912831,,HUMAN_OBSERVATION,2017-08-19T00:00:00Z,-24.457151,18.083496,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
208500,1041753,686336717,PhysicalObject,PRESERVED_SPECIMEN,1928-07-01T00:00:00Z,-3.3763059999999996,35.818278,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
209091,1042344,686465867,PhysicalObject,PRESERVED_SPECIMEN,1929-07-01T00:00:00Z,-3.3763059999999996,35.818278,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
209136,1042389,686467003,PhysicalObject,PRESERVED_SPECIMEN,1949-08-11T00:00:00Z,-2.903414,36.049939,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
209259,1042512,686484496,PhysicalObject,PRESERVED_SPECIMEN,1968-02-24T00:00:00Z,-2.25,36.0,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
209260,1042513,686484497,PhysicalObject,PRESERVED_SPECIMEN,1968-04-05T00:00:00Z,-2.25,36.0,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
223665,1056918,1436940920,PhysicalObject,PRESERVED_SPECIMEN,1948-01-01T00:00:00Z,-7.4166669999999995,31.983333000000002,8138eb72-f762-11e1-a439-00145eb45e9a,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
223876,1057129,1436955849,PhysicalObject,PRESERVED_SPECIMEN,1944-01-01T00:00:00Z,-9.383333,30.133333,8138eb72-f762-11e1-a439-00145eb45e9a,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
223983,1057236,1436963013,PhysicalObject,PRESERVED_SPECIMEN,1952-01-01T00:00:00Z,-18.833333,16.333333,8138eb72-f762-11e1-a439-00145eb45e9a,0,Taurotragus oryx livingstonei,105883,5706356,Taurotragus oryx
224227,1057480,1436981455,PhysicalObject,PRESERVED_SPECIMEN,1956-01-01T00:00:00Z,-1.516667,30.433333,8138eb72-f762-11e1-a439-00145eb45e9a,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
224363,1057616,1437739372,,HUMAN_OBSERVATION,2006-07-09T00:00:00Z,-0.626432,30.979566,c1f425be-cf91-4df4-ac10-f48066facf52,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
224376,1057629,1437739405,,HUMAN_OBSERVATION,2006-07-26T00:00:00Z,-0.6316689999999999,30.982699,c1f425be-cf91-4df4-ac10-f48066facf52,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
