,Unnamed: 0,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species,dec_lat,dec_lon,coordinates,lonlat,in_dist_polygon,year,month
0,21961,855214,1319696127,PhysicalObject,PRESERVED_SPECIMEN,1964-02-24 00:00:00+00:00,0.93,30.33,821cc27a-e3bb-4bc5-ac34-89ada245069d,0,Kobus kob,106218,5220161,Kobus kob,2,2,POINT (30.33 0.93),"(30.33, 0.93)",True,1964,2
60,22076,855329,1320388651,PhysicalObject,PRESERVED_SPECIMEN,1969-07-15 00:00:00+00:00,7.82,-4.68,821cc27a-e3bb-4bc5-ac34-89ada245069d,0,Kobus kob,106218,5220161,Kobus kob,2,2,POINT (-4.68 7.82),"(-4.68, 7.82)",True,1969,7
111,27792,861045,1807863222,,HUMAN_OBSERVATION,2018-01-05 00:00:00+00:00,12.964413,-13.175354,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Kobus kob,106218,5220161,Kobus kob,6,6,POINT (-13.175354 12.964413),"(-13.175354, 12.964413)",True,2018,1
112,36979,870232,1880601897,,HUMAN_OBSERVATION,2018-01-12 23:49:00+00:00,-0.033493,30.049168,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob thomasi,106226,5706375,Kobus kob,6,6,POINT (30.049168 -0.033493),"(30.049168, -0.033493)",True,2018,1
113,62591,895844,1899806126,,HUMAN_OBSERVATION,2018-03-07 17:18:00+00:00,12.043445,2.450286,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,6,6,POINT (2.450286 12.043445),"(2.450286, 12.043445)",True,2018,3
114,65620,898873,1562871402,,HUMAN_OBSERVATION,2015-06-20 00:00:00+00:00,-0.025921,30.0737,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob thomasi,106226,5706375,Kobus kob,6,4,POINT (30.0737 -0.025921),"(30.0737, -0.025921)",True,2015,6
115,65661,898914,1562873816,,HUMAN_OBSERVATION,2015-09-29 00:00:00+00:00,-0.632225,29.670532,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob thomasi,106226,5706375,Kobus kob,6,6,POINT (29.670532 -0.632225),"(29.670532, -0.632225)",True,2015,9
116,65704,898957,1562881640,,HUMAN_OBSERVATION,2012-03-02 18:08:00+00:00,11.15803,1.070647,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,5,6,POINT (1.070647 11.15803),"(1.070647, 11.15803)",True,2012,3
117,65713,898966,1562882052,,HUMAN_OBSERVATION,2016-04-27 08:59:00+00:00,11.303408,1.626939,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,6,6,POINT (1.626939 11.303408),"(1.626939, 11.303408)",True,2016,4
118,65730,898983,1562882128,,HUMAN_OBSERVATION,2016-03-17 12:35:00+00:00,12.498308,2.51675,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,6,5,POINT (2.51675 12.498308),"(2.51675, 12.498308)",True,2016,3
119,65741,898994,1562882350,,HUMAN_OBSERVATION,2016-11-17 19:10:00+00:00,11.504399,1.472561,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,6,6,POINT (1.472561 11.504399),"(1.472561, 11.504399)",True,2016,11
120,66031,899284,1562926583,,HUMAN_OBSERVATION,2017-03-09 15:24:00+00:00,11.402974,1.421348,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,6,6,POINT (1.421348 11.402974),"(1.421348, 11.402974)",True,2017,3
121,66038,899291,1562926657,,HUMAN_OBSERVATION,2017-02-26 12:36:00+00:00,11.446952,1.479283,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,6,6,POINT (1.479283 11.446952),"(1.479283, 11.446952)",True,2017,2
122,66053,899306,1562926728,,HUMAN_OBSERVATION,2017-04-17 12:32:00+00:00,11.525237,1.403934,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,6,6,POINT (1.403934 11.525237),"(1.403934, 11.525237)",True,2017,4
123,66352,899605,1563418816,,HUMAN_OBSERVATION,2017-03-10 10:57:00+00:00,11.521973,1.487059,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,6,6,POINT (1.487059 11.521973),"(1.487059, 11.521973)",True,2017,3
