,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species
13456,846709,583512307,PhysicalObject,PRESERVED_SPECIMEN,1959-08-26T00:00:00Z,-8.11667,32.41667,6ce7290f-47f6-4046-8356-371f5b6749df,0,Hippotragus equinus,106172,2441030,Hippotragus equinus
13493,846746,583515419,PhysicalObject,PRESERVED_SPECIMEN,1927-06-01T00:00:00Z,-3.58333,35.83333,6ce7290f-47f6-4046-8356-371f5b6749df,0,Hippotragus equinus,106172,2441030,Hippotragus equinus
13494,846747,583515423,PhysicalObject,PRESERVED_SPECIMEN,1927-06-01T00:00:00Z,-3.58333,35.83333,6ce7290f-47f6-4046-8356-371f5b6749df,0,Hippotragus equinus,106172,2441030,Hippotragus equinus
13495,846748,583515427,PhysicalObject,PRESERVED_SPECIMEN,1927-06-01T00:00:00Z,-3.58333,35.83333,6ce7290f-47f6-4046-8356-371f5b6749df,0,Hippotragus equinus,106172,2441030,Hippotragus equinus
13496,846749,583515431,PhysicalObject,PRESERVED_SPECIMEN,1927-06-01T00:00:00Z,-3.58333,35.83333,6ce7290f-47f6-4046-8356-371f5b6749df,0,Hippotragus equinus,106172,2441030,Hippotragus equinus
27758,861011,1807860391,,HUMAN_OBSERVATION,1988-12-22T00:00:00Z,-19.046541,26.585541,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Hippotragus equinus equinus,106174,7261452,Hippotragus equinus
27762,861015,1807860444,,HUMAN_OBSERVATION,2017-11-19T00:00:00Z,-17.982162,22.462234,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Hippotragus equinus,106172,2441030,Hippotragus equinus
27766,861019,1807860485,,HUMAN_OBSERVATION,1988-12-24T00:00:00Z,-19.046541,26.585541,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Hippotragus equinus equinus,106174,7261452,Hippotragus equinus
27772,861025,1807860990,,HUMAN_OBSERVATION,2018-01-05T00:00:00Z,12.964413,-13.175354,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Hippotragus equinus,106172,2441030,Hippotragus equinus
27778,861031,1807861108,,HUMAN_OBSERVATION,1988-12-23T00:00:00Z,-19.046541,26.585541,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Hippotragus equinus equinus,106174,7261452,Hippotragus equinus
37149,870402,1880624417,,HUMAN_OBSERVATION,2018-06-14T01:10:10Z,-19.1015,27.569723,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Hippotragus equinus,106172,2441030,Hippotragus equinus
39000,872253,1881627754,,HUMAN_OBSERVATION,2018-06-09T00:00:00Z,-20.272581,16.956791,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Hippotragus equinus,106172,2441030,Hippotragus equinus
62465,895718,1899801189,,HUMAN_OBSERVATION,2018-07-26T14:55:00Z,-24.669882,28.765851,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Hippotragus equinus,106172,2441030,Hippotragus equinus
62514,895767,1899805521,,HUMAN_OBSERVATION,2018-01-20T09:13:00Z,12.547657000000001,2.496012,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Hippotragus equinus,106172,2441030,Hippotragus equinus
62517,895770,1899805542,,HUMAN_OBSERVATION,2017-12-31T08:54:00Z,12.44985,2.601143,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Hippotragus equinus,106172,2441030,Hippotragus equinus
62519,895772,1899805562,,HUMAN_OBSERVATION,2018-01-23T16:23:00Z,12.386991,2.784846,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Hippotragus equinus,106172,2441030,Hippotragus equinus
62521,895774,1899805565,,HUMAN_OBSERVATION,2018-01-13T20:09:00Z,12.48932,2.5714740000000003,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Hippotragus equinus,106172,2441030,Hippotragus equinus
62532,895785,1899805630,,HUMAN_OBSERVATION,2018-01-23T18:33:00Z,12.439917999999999,2.745939,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Hippotragus equinus,106172,2441030,Hippotragus equinus
62534,895787,1899805657,,HUMAN_OBSERVATION,2018-02-11T13:30:00Z,11.87904,2.30478,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Hippotragus equinus,106172,2441030,Hippotragus equinus
62546,895799,1899805702,,HUMAN_OBSERVATION,2018-02-16T16:48:00Z,11.9697,2.12656,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Hippotragus equinus,106172,2441030,Hippotragus equinus
62549,895802,1899805707,,HUMAN_OBSERVATION,2018-02-24T23:00:00Z,11.98042,2.0623400000000003,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Hippotragus equinus,106172,2441030,Hippotragus equinus
62558,895811,1899805793,,HUMAN_OBSERVATION,2018-03-15T13:54:00Z,11.891869999999999,0.99313,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Hippotragus equinus,106172,2441030,Hippotragus equinus
