,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species
796502,1629755,1133272819,,FOSSIL_SPECIMEN,1977-01-30T00:00:00Z,27.78,-82.03,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Neohipparion eurystyle,107295,4969312,Neohipparion eurystyle
796510,1629763,1133272862,,FOSSIL_SPECIMEN,1977-01-30T00:00:00Z,27.78,-82.03,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Neohipparion eurystyle,107295,4969312,Neohipparion eurystyle
796731,1629984,1133287964,,FOSSIL_SPECIMEN,1952-07-22T00:00:00Z,27.82,-81.94,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Neohipparion eurystyle,107295,4969312,Neohipparion eurystyle
796732,1629985,1133288105,,FOSSIL_SPECIMEN,1952-09-15T00:00:00Z,27.82,-81.94,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Neohipparion eurystyle,107295,4969312,Neohipparion eurystyle
796782,1630035,1133294640,,FOSSIL_SPECIMEN,1913-02-12T00:00:00Z,29.05,-82.46,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Neohipparion eurystyle,107295,4969312,Neohipparion eurystyle
796783,1630036,1133294662,,FOSSIL_SPECIMEN,1913-02-12T00:00:00Z,29.05,-82.46,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Neohipparion eurystyle,107295,4969312,Neohipparion eurystyle
796784,1630037,1133294666,,FOSSIL_SPECIMEN,1913-02-12T00:00:00Z,29.05,-82.46,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Neohipparion eurystyle,107295,4969312,Neohipparion eurystyle
796785,1630038,1133294667,,FOSSIL_SPECIMEN,1913-02-12T00:00:00Z,29.05,-82.46,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Neohipparion eurystyle,107295,4969312,Neohipparion eurystyle
796786,1630039,1133294669,,FOSSIL_SPECIMEN,1913-02-12T00:00:00Z,29.05,-82.46,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Neohipparion eurystyle,107295,4969312,Neohipparion eurystyle
796787,1630040,1133294684,,FOSSIL_SPECIMEN,1913-02-12T00:00:00Z,29.05,-82.46,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Neohipparion eurystyle,107295,4969312,Neohipparion eurystyle
796939,1630192,1133305561,,FOSSIL_SPECIMEN,1965-01-19T00:00:00Z,27.71,-81.92,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Neohipparion eurystyle,107295,4969312,Neohipparion eurystyle
796942,1630195,1133305570,,FOSSIL_SPECIMEN,1965-01-19T00:00:00Z,27.71,-81.92,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Neohipparion eurystyle,107295,4969312,Neohipparion eurystyle
797298,1630551,1133368639,,FOSSIL_SPECIMEN,1971-11-18T00:00:00Z,28.99,-82.35,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Neohipparion eurystyle,107295,4969312,Neohipparion eurystyle
797300,1630553,1133368678,,FOSSIL_SPECIMEN,1972-03-30T00:00:00Z,27.8,-82.03,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,0,Neohipparion eurystyle,107295,4969312,Neohipparion eurystyle
