gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
2234879358																																																											naturgucker	naturgucker			HumanObservation					732153168		605694170																													2016-09-10T00:00:00																						KE					Samburu, Kenya												0.571279585361	37.6089477539		250																																																			Aepyceros melampus								Animalia		Mammalia	Artiodactyla	Bovidae												
2234813938																										21709432										http://creativecommons.org/licenses/by-nc/4.0/			2019-03-29T10:32:30Z			https://www.inaturalist.org/observations/21709432				© jurga_li some rights reserved	jurga_li												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 30598m to protect threatened taxon			https://www.inaturalist.org/observations/21709432	21709432		jurga_li								wild																					2019-03-18T18:15:00+03:00	15:15:00Z						2019/03/18 6:15 PM +03																NA	Oshikoto				Etosha National Park, NA											-19.0924621672	15.8103483274		30598																																			48512408				2019-03-28T19:34:41Z				120012								Aepyceros melampus petersi								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros				subspecies							
2234801365																										21667301										http://creativecommons.org/licenses/by-nc/4.0/			2019-03-28T21:31:38Z			https://www.inaturalist.org/observations/21667301				© Herman Berteler some rights reserved	Herman Berteler												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/21667301	21667301		Herman Berteler								wild																					2019-02-08T12:12:00+01:00	11:12:00Z						2019/02/08 12:12 PM CET																ZA	KwaZulu-Natal				Sanlameer, Southbroom, Zuid-Afrika											-30.9402662438	30.2954630106		244																																			48477134				2019-03-28T08:38:52Z				147920								Aepyceros melampus melampus								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros				subspecies							
2234783658																										21605707										http://creativecommons.org/licenses/by-nc/4.0/			2019-03-26T10:26:00Z			https://www.inaturalist.org/observations/21605707				© mikkel65 some rights reserved	mikkel65												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/21605707	21605707		mikkel65								wild																					2005-12-26T08:46:00+01:00	07:46:00Z						2005/12/26 8:46 AM CET																TZ	Manyara				Lake Manyara, Tanzania											-3.6190593	35.8061779		29936																																			48271560				2019-03-25T19:24:50Z				42278								Aepyceros melampus								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros				species							
2234781428																										21605670										http://creativecommons.org/licenses/by-nc/4.0/			2019-03-28T17:55:15Z			https://www.inaturalist.org/observations/21605670				© mikkel65 some rights reserved	mikkel65												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/21605670	21605670		mikkel65								wild																					2005-12-26T08:43:00+01:00	07:43:00Z						2005/12/26 8:43 AM CET																TZ	Manyara				Lake Manyara, Tanzania											-3.6190593	35.8061779		32224																																			48505578				2019-03-28T17:55:15Z				42278								Aepyceros melampus								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros				species							
2234759978																										21531633										http://creativecommons.org/licenses/by-nc/4.0/			2019-03-27T19:57:39Z			https://www.inaturalist.org/observations/21531633				© mikkel65 some rights reserved	mikkel65												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/21531633	21531633		mikkel65								wild																					2005-12-23T12:37:00+01:00	11:37:00Z						2005/12/23 12:37 PM CET																TZ	Mara				Tanzania											-2.3333333	34.8333333		159489																																			48433098				2019-03-27T19:57:38Z				42278								Aepyceros melampus								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros				species							
2234759553																										21532103										http://creativecommons.org/licenses/by-nc/4.0/			2019-03-25T13:46:58Z			https://www.inaturalist.org/observations/21532103				© mikkel65 some rights reserved	mikkel65												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/21532103	21532103		mikkel65								wild																					2005-12-23T12:54:00+01:00	11:54:00Z						2005/12/23 12:54 PM CET																TZ	Mara				Tanzania											-2.3333333	34.8333333		157048																																			48104904				2019-03-23T22:38:44Z				42278								Aepyceros melampus								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros				species							
2234748246																										21492187										http://creativecommons.org/licenses/by-nc/4.0/			2019-03-25T20:56:52Z			https://www.inaturalist.org/observations/21492187				© Shirley Hitschmann some rights reserved	Shirley Hitschmann												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/21492187	21492187		Shirley Hitschmann								wild																					2018-07-28T07:11:00+01:00	06:11:00Z						2018/07/28 7:11 AM CAT																ZW	Masvingo				Chipinge, Zimbabwe											-20.1615007288	32.1515395013		10222																																			48022342				2019-03-22T20:10:24Z				147920								Aepyceros melampus melampus								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros				subspecies							
2234748085																										21492179										http://creativecommons.org/licenses/by-nc/4.0/			2019-03-25T20:57:20Z			https://www.inaturalist.org/observations/21492179				© Shirley Hitschmann some rights reserved	Shirley Hitschmann												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/21492179	21492179		Shirley Hitschmann								wild																					2018-07-28T15:19:00+01:00	14:19:00Z						2018/07/28 3:19 PM CAT																ZW	Masvingo				Chipinge, Zimbabwe											-20.4485560044	32.2433694615		186																																			48022329				2019-03-22T20:10:16Z				147920								Aepyceros melampus melampus								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros				subspecies							
2234733309																										19424250										http://creativecommons.org/licenses/by/4.0/			2019-03-28T16:16:42Z			https://www.inaturalist.org/observations/19424250				© Scott Camazine some rights reserved	Scott Camazine												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/19424250	19424250		Scott Camazine								wild									Impala, photographed in Serengeti National Park, Tanzania, Africa												2010-01-14T06:03:00-05:00	11:03:00Z						2010/01/14 6:03 AM EST																TZ	Arusha				Arusha, , Arusha, TZ											-3.5564423681	35.4893651673		173721																																			42528467				2019-01-04T20:35:45Z				147920								Aepyceros melampus melampus								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros				subspecies							
