,gbif_id,taxon_name,decimal_latitude,decimal_longitude,coordinates,present/pseudo_absent
0,1436960033,Tragulus javanicus,-5.45,105.266667,POINT (105.266667 -5.45),1
1,865749173,Tragulus javanicus,-7.5,111.0,POINT (111 -7.5),1
2,859412470,Tragulus javanicus,-1.516667,111.5,POINT (111.5 -1.516667),1
3,686368748,Tragulus javanicus,-7.5,110.0,POINT (110 -7.5),1
4,665886161,Tragulus javanicus,-6.86667,106.083344,POINT (106.083344 -6.86667),1
5,665847535,Tragulus javanicus,4.149159,98.202484,POINT (98.202484 4.149159),1
6,665847534,Tragulus javanicus,1.632727,98.75241899999999,POINT (98.75241899999999 1.632727),1
7,665847533,Tragulus javanicus,-0.15,104.609444,POINT (104.609444 -0.15),1
8,665803501,Tragulus javanicus,-6.9833300000000005,106.300003,POINT (106.300003 -6.98333),1
9,476860281,Tragulus javanicus,-6.87,106.2208,POINT (106.2208 -6.87),1
10,476845537,Tragulus javanicus,-4.2456,119.6543,POINT (119.6543 -4.2456),1
11,1436960033,Tragulus javanicus,-2.7253086940653457,110.02567211407572,POINT (110.0256721140757 -2.725308694065346),0
12,865749173,Tragulus javanicus,-4.607369384888937,128.0241869409941,POINT (128.0241869409941 -4.607369384888937),0
13,859412470,Tragulus javanicus,-6.271035417501096,107.00626154667756,POINT (107.0062615466776 -6.271035417501096),0
14,686368748,Tragulus javanicus,-0.7205917553913501,99.71505764430648,POINT (99.71505764430648 -0.7205917553913501),0
15,665886161,Tragulus javanicus,-11.354447128585901,113.29733933779676,POINT (113.2973393377968 -11.3544471285859),0
16,665847535,Tragulus javanicus,5.264679662628813,98.19312409130848,POINT (98.19312409130848 5.264679662628813),0
17,665847534,Tragulus javanicus,-6.2715070157031905,123.89298871421835,POINT (123.8929887142183 -6.27150701570319),0
18,665847533,Tragulus javanicus,-3.0690314170121287,126.89442891947698,POINT (126.894428919477 -3.069031417012129),0
19,665803501,Tragulus javanicus,6.648541874739939,97.36070986616063,POINT (97.36070986616063 6.648541874739939),0
20,476860281,Tragulus javanicus,-5.768738488662232,111.81128223349091,POINT (111.8112822334909 -5.768738488662232),0
21,476845537,Tragulus javanicus,-6.893843609013958,111.12705750132476,POINT (111.1270575013248 -6.893843609013958),0
