,Unnamed: 0,gbif_id,taxon_name,decimal_latitude,decimal_longitude,coordinates,present/pseudo_absent,band 1,band 2,band 3,band 4,band 5,band 6,band 7,band 8,band 9,band 10,band 11,band 12,band 13,band 14,band 15,band 16,band 17,band 18,band 19,band 20,band 21,band 22,band 23,band 24,band 25,band 26,band 27,band 28,band 29,band 30,band 31,band 32,band 33,band 34,band 35,band 36,band 37,band 38,band 39,band 40,band 41
0,0,1838312967,Damaliscus pygargus,-25.898000000000003,28.2877,POINT (28.2877 -25.898),1,5.3220325,135.0,15.0,1448.39,50.91,-0.51,11.05,97.8,70272.0,70272.0,178.0,146.0,10.0,76.04,76.04,3667.82,158.55,160.94,356.0,68.0,56.0,0.007344435,163.0,204.0,106.0,711.0,144.0,7.0,76.0,360.0,22.0,339.0,22.0,143.0,56.0,3928.0,268.0,15.0,253.0,200.0,106.0
1,1,1848784663,Damaliscus pygargus,-28.494634,28.648086,POINT (28.648086 -28.494634),1,1.2893734,126.0,27.0,1264.12,31.73,-0.32,11.6,117.74,53838.0,53838.0,139.0,113.0,8.0,60.97,60.97,3704.29,146.64,148.02,243.0,70.0,64.0,0.032031756,124.0,171.0,67.0,863.0,138.0,12.0,60.0,375.0,48.0,365.0,48.0,141.0,54.0,4097.0,238.0,-20.0,258.0,165.0,67.0
2,2,1838386287,Damaliscus pygargus,-24.7506,27.975,POINT (27.975 -24.7506),1,2.992895,136.0,20.0,1632.04,61.4,-0.61,11.45,79.45,81468.0,81468.0,211.0,167.0,12.0,84.65,89.71,3843.21,173.4,173.4,424.0,94.0,52.0,0.011823426,188.0,231.0,128.0,630.0,117.0,5.0,80.0,326.0,18.0,326.0,28.0,156.0,56.0,4165.0,299.0,25.0,274.0,231.0,129.0
3,3,1269539805,Damaliscus pygargus,-25.753846,27.784445,POINT (27.784445 -25.753846),1,5.95411,120.0,41.0,1562.34,59.42,-0.59,12.4,79.35,77112.0,77112.0,193.0,166.0,12.0,82.43,82.43,3953.74,170.98,171.98,385.0,148.0,59.0,0.020839667,178.0,225.0,115.0,634.0,121.0,4.0,77.0,324.0,15.0,306.0,15.0,152.0,54.0,4457.0,291.0,14.0,277.0,221.0,115.0
4,4,921404776,Damaliscus pygargus,-26.507446,28.212891,POINT (28.212891 -26.507446),1,2.6570575,134.0,26.0,1435.83,50.13,-0.5,12.2,91.3,65862.0,65862.0,167.0,139.0,10.0,73.18,73.18,3873.22,160.63,162.89,312.0,56.0,59.0,0.030650744,152.0,199.0,91.0,716.0,119.0,8.0,72.0,344.0,25.0,331.0,25.0,150.0,54.0,4355.0,267.0,-7.0,274.0,195.0,91.0
5,5,1640060268,Damaliscus pygargus,-32.216722,25.428286,POINT (25.428286 -32.216722),1,0.069263585,128.0,30.0,1391.56,68.24,-0.68,11.95,56.11,62226.0,62226.0,154.0,119.0,10.0,58.29,55.06,5035.8,176.69,158.33,304.0,57.0,74.0,0.04967393,144.0,194.0,88.0,442.0,62.0,15.0,45.0,173.0,53.0,162.0,53.0,153.0,55.0,4128.0,280.0,6.0,274.0,191.0,92.0
6,6,1453135208,Damaliscus pygargus,-28.493982,28.629874,POINT (28.629874 -28.493982),1,1.2893734,126.0,27.0,1264.12,31.73,-0.32,11.6,117.74,53838.0,53838.0,139.0,113.0,8.0,60.97,60.97,3704.29,146.64,148.02,243.0,70.0,64.0,0.032031756,124.0,171.0,67.0,863.0,138.0,12.0,60.0,375.0,48.0,365.0,48.0,141.0,54.0,4097.0,238.0,-20.0,258.0,165.0,67.0
7,7,921400370,Damaliscus pygargus,-28.690411,28.791246,POINT (28.791246 -28.690411),1,0.52466476,126.0,27.0,1009.16,34.29,-0.08,10.65,146.4,36540.0,24759.0,92.0,78.0,5.0,47.17,47.17,3072.55,119.01,119.46,135.0,70.0,64.0,0.118283965,84.0,127.0,32.0,932.0,146.0,12.0,62.0,400.0,48.0,399.0,48.0,119.0,52.0,3734.0,186.0,-41.0,227.0,121.0,32.0
8,8,1563440685,Damaliscus pygargus,-26.119685,31.097832,POINT (31.097832 -26.119685),1,1.4856346,124.0,36.0,1291.28,44.42,-0.0,7.7,235.01,70146.0,70146.0,180.0,144.0,12.0,70.84,70.84,3042.13,139.01,139.01,382.0,249.0,46.0,0.009249825,162.0,191.0,123.0,1286.0,223.0,17.0,69.0,617.0,67.0,617.0,67.0,115.0,60.0,2716.0,243.0,53.0,190.0,191.0,123.0
9,9,1453375597,Damaliscus pygargus,-25.255024,27.301587,POINT (27.301587 -25.255024),1,2.7199945,144.0,18.0,1670.95,63.85,-0.64,12.25,74.26,85140.0,85140.0,214.0,180.0,12.0,89.26,89.26,4190.34,181.91,181.91,444.0,86.0,55.0,0.0058279503,197.0,243.0,134.0,604.0,120.0,2.0,80.0,316.0,13.0,316.0,13.0,156.0,55.0,4433.0,313.0,33.0,280.0,243.0,134.0
10,10,1453371324,Damaliscus pygargus,-32.203812,25.418598,POINT (25.418598 -32.203812),1,0.069263585,128.0,30.0,1391.56,68.24,-0.68,11.95,56.11,62226.0,62226.0,154.0,119.0,10.0,58.29,55.06,5035.8,176.69,158.33,304.0,57.0,74.0,0.04967393,144.0,194.0,88.0,442.0,62.0,15.0,45.0,173.0,53.0,162.0,53.0,153.0,55.0,4128.0,280.0,6.0,274.0,191.0,92.0
11,11,1579999827,Damaliscus pygargus,-25.775314,28.17461,POINT (28.17461 -25.775314),1,5.681367,140.0,19.0,1491.77,51.87,-0.52,11.0,98.12,73692.0,73692.0,187.0,153.0,12.0,79.08,79.08,3728.79,162.58,164.74,379.0,74.0,59.0,0.0064510126,170.0,211.0,114.0,718.0,137.0,6.0,75.0,360.0,20.0,338.0,20.0,145.0,57.0,3933.0,276.0,22.0,254.0,208.0,114.0
12,12,1098894700,Damaliscus pygargus,-25.368441,28.414447,POINT (28.414447 -25.368441),1,6.0568194,145.0,16.0,1633.95,61.75,-0.62,11.2,79.43,80712.0,80712.0,212.0,166.0,12.0,88.77,88.77,3930.53,175.38,178.48,424.0,82.0,53.0,0.008240856,187.0,229.0,128.0,625.0,112.0,6.0,76.0,322.0,18.0,303.0,18.0,159.0,58.0,4112.0,297.0,25.0,272.0,226.0,128.0
13,13,1703154383,Damaliscus pygargus,-25.990093,27.702722,POINT (27.702722 -25.990093),1,2.362575,136.0,20.0,1457.03,51.13,-0.51,11.6,96.31,71082.0,71082.0,176.0,151.0,10.0,75.88,75.88,3782.21,161.09,162.56,356.0,79.0,62.0,0.010026976,164.0,208.0,106.0,712.0,137.0,6.0,74.0,349.0,20.0,341.0,20.0,143.0,55.0,4088.0,273.0,16.0,257.0,204.0,106.0
