,gbif_id,taxon_name,decimal_latitude,decimal_longitude,occurrence,band 1,band 2,band 3,band 4,band 5,band 6,band 7,band 8,band 9,band 10,band 11,band 12,band 13,band 14,band 15,band 16,band 17,band 18,band 19,band 20,band 21,band 22,band 23,band 24,band 25,band 26,band 27,band 28,band 29,band 30,band 31,band 32,band 33,band 34,band 35,band 36,band 37,band 38,band 39,band 40,band 41
0,84161328,Gazella gazella,32.620474,35.484429999999996,1,2.9903533,153.0,49.0,1429.34,88.69,-0.71,16.0,54.96,91026.0,91026.0,169.0,229.0,12.0,54.82,179.37,5257.61,163.51,54.82,463.0,96.0,66.0,0.016135883,210.0,279.0,134.0,421.0,109.0,0.0,107.0,278.0,0.0,1.0,278.0,113.0,43.0,5860.0,344.0,84.0,260.0,134.0,278.0
1,1831091134,Gazella gazella,32.936826,35.618015,1,3.67002,153.0,49.0,1427.29,86.94,-0.66,16.3,61.5,90090.0,90090.0,167.0,226.0,12.0,54.49,182.71,5337.02,167.44,54.49,457.0,96.0,66.0,0.03965789,208.0,278.0,133.0,484.0,128.0,0.0,107.0,319.0,0.0,1.0,319.0,114.0,42.0,5813.0,349.0,82.0,267.0,133.0,277.0
2,84136555,Gazella gazella,32.871439,35.685024,1,5.111353,142.0,39.0,1440.61,87.8,-0.69,16.65,55.24,87768.0,87768.0,160.0,218.0,12.0,53.87,186.07,5497.85,170.21,53.87,436.0,137.0,63.0,0.045784317,203.0,274.0,126.0,447.0,113.0,0.0,105.0,291.0,0.0,1.0,291.0,119.0,43.0,5931.0,348.0,73.0,275.0,126.0,273.0
3,1094472200,Gazella gazella,32.96,35.66,1,3.67002,153.0,49.0,1427.29,86.94,-0.66,16.3,61.5,90090.0,90090.0,167.0,226.0,12.0,54.49,182.71,5337.02,167.44,54.49,457.0,96.0,66.0,0.03965789,208.0,278.0,133.0,484.0,128.0,0.0,107.0,319.0,0.0,1.0,319.0,114.0,42.0,5813.0,349.0,82.0,267.0,133.0,277.0
4,1248682287,Gazella gazella,31.668232,34.920693,1,5.1790156,130.0,40.0,1408.2,87.17,-0.68,13.9,61.71,85914.0,85914.0,173.0,204.0,12.0,58.92,172.63,4746.5,159.17,58.92,449.0,243.0,68.0,0.009468059,199.0,257.0,133.0,447.0,114.0,0.0,108.0,289.0,0.0,0.0,289.0,117.0,47.0,5031.0,324.0,77.0,247.0,133.0,256.0
5,84092443,Gazella gazella,31.837921,34.695015000000005,1,5.332814,133.0,18.0,1317.42,91.6,-0.61,13.0,76.64,86040.0,86040.0,182.0,213.0,12.0,60.75,153.56,3862.54,142.77,61.88,463.0,38.0,74.0,0.002846655,199.0,255.0,139.0,514.0,130.0,0.0,114.0,341.0,0.0,1.0,340.0,107.0,46.0,4549.0,311.0,82.0,229.0,156.0,251.0
6,48459742,Gazella gazella,31.728547999999996,34.898205,1,5.030672,130.0,40.0,1390.69,87.19,-0.68,13.55,62.29,86400.0,86400.0,178.0,207.0,12.0,60.3,167.82,4485.56,155.12,60.3,457.0,243.0,68.0,0.016471218,200.0,257.0,136.0,442.0,113.0,0.0,111.0,287.0,0.0,0.0,287.0,115.0,47.0,4845.0,321.0,79.0,242.0,136.0,255.0
7,48458037,Gazella gazella,31.809048999999998,35.021501,1,4.7985897,130.0,40.0,1376.54,85.89,-0.64,14.2,67.94,82368.0,82368.0,160.0,196.0,12.0,54.98,171.05,4852.04,158.09,54.98,420.0,243.0,68.0,0.049435724,190.0,250.0,123.0,493.0,121.0,0.0,108.0,322.0,0.0,0.0,322.0,116.0,46.0,5160.0,318.0,70.0,248.0,123.0,249.0
8,84040294,Gazella gazella,32.284973,35.506749,1,3.7740352,130.0,40.0,1610.06,89.47,-0.82,16.6,33.66,96282.0,96282.0,184.0,228.0,12.0,60.84,205.98,6067.56,188.77,60.84,492.0,243.0,68.0,0.01806107,223.0,294.0,142.0,287.0,67.0,0.0,106.0,184.0,0.0,0.0,184.0,133.0,46.0,6046.0,373.0,85.0,288.0,142.0,292.0
9,84053871,Gazella gazella,31.973473,34.77044,1,5.3012743,133.0,18.0,1334.35,90.99,-0.58,12.95,82.49,85014.0,85014.0,181.0,208.0,12.0,60.9,156.36,3976.73,145.38,60.9,455.0,38.0,74.0,0.004200783,196.0,253.0,136.0,560.0,143.0,0.0,113.0,374.0,0.0,1.0,374.0,111.0,47.0,4584.0,310.0,78.0,232.0,136.0,249.0
