,Unnamed: 0,gbif_id,taxon_name,decimal_latitude,decimal_longitude,coordinates,present/pseudo_absent,band 1,band 2,band 3,band 4,band 5,band 6,band 7,band 8,band 9,band 10,band 11,band 12,band 13,band 14,band 15,band 16,band 17,band 18,band 19,band 20,band 21,band 22,band 23,band 24,band 25,band 26,band 27,band 28,band 29,band 30,band 31,band 32,band 33,band 34,band 35,band 36,band 37,band 38,band 39,band 40,band 41
0,0,1038696566,Kobus vardonii,-12.781335,32.05098,POINT (32.05098 -12.781335),1,4.9390216,143.0,26.0,1869.69,79.54,-0.55,8.3,117.86,104796.0,104796.0,283.0,210.0,12.0,130.93,130.93,2469.6,185.66,160.5,630.0,120.0,67.0,0.004226045,243.0,273.0,203.0,849.0,211.0,0.0,112.0,565.0,0.0,263.0,0.0,140.0,57.0,2702.0,354.0,111.0,243.0,258.0,203.0
1,1,891777010,Kobus vardonii,-12.579871,30.259651,POINT (30.259651 -12.579871),1,5.9517727,128.0,25.0,1617.03,84.59,-0.31,7.3,171.2,88092.0,88092.0,235.0,159.0,12.0,111.22,111.22,2197.11,159.29,139.97,510.0,171.0,47.0,0.0039882255,204.0,228.0,168.0,1114.0,266.0,0.0,117.0,786.0,0.0,383.0,0.0,126.0,56.0,2388.0,310.0,88.0,222.0,218.0,168.0
2,2,1038696537,Kobus vardonii,-12.609516,32.270278999999995,POINT (32.270279 -12.609516),1,4.5936685,143.0,26.0,1811.02,78.65,-0.52,8.1,124.3,102366.0,102366.0,275.0,206.0,12.0,126.92,126.92,2355.88,179.57,155.57,612.0,120.0,67.0,0.007788111,237.0,266.0,197.0,868.0,215.0,0.0,112.0,581.0,0.0,264.0,0.0,135.0,57.0,2664.0,345.0,109.0,236.0,252.0,197.0
3,3,1703159346,Kobus vardonii,-14.831422,25.94432,POINT (25.94432 -14.831422),1,1.9176837,136.0,9.0,1739.69,77.52,-0.46,8.9,119.19,89874.0,89874.0,250.0,163.0,12.0,115.87,121.14,2273.37,168.74,148.47,517.0,75.0,45.0,0.0020748961,208.0,236.0,164.0,931.0,229.0,0.0,113.0,640.0,0.0,369.0,3.0,149.0,55.0,2935.0,327.0,60.0,267.0,226.0,165.0
4,4,1453205979,Kobus vardonii,-15.091515,25.802967,POINT (25.802967 -15.091515),1,3.2727647,136.0,9.0,1752.19,79.23,-0.49,9.3,111.31,90234.0,90234.0,251.0,164.0,12.0,120.54,120.54,2373.38,171.15,150.77,517.0,75.0,45.0,0.0010672807,209.0,239.0,163.0,889.0,222.0,0.0,113.0,619.0,0.0,352.0,0.0,150.0,54.0,3089.0,330.0,57.0,273.0,229.0,163.0
5,5,1038696556,Kobus vardonii,-12.929615,32.016907,POINT (32.016907 -12.929615),1,4.712389,143.0,26.0,1877.0,70.94,-0.55,8.45,115.71,104382.0,104382.0,283.0,209.0,12.0,131.2,131.2,2530.01,186.99,161.1,626.5,120.0,67.0,0.0050333533,241.0,272.0,201.0,847.0,211.0,0.0,111.0,561.0,0.0,263.0,0.0,142.0,57.0,2752.0,355.0,108.0,247.0,257.0,201.0
6,6,891777095,Kobus vardonii,-12.583824,30.320103000000003,POINT (30.320103 -12.583824),1,4.7901936,128.0,25.0,1613.89,84.63,-0.32,7.25,169.88,87498.0,87498.0,234.0,157.0,12.0,110.55,110.55,2219.87,159.25,140.15,505.5,171.0,47.0,0.0034905968,202.0,226.0,166.0,1105.0,265.0,0.0,117.0,783.0,0.0,381.0,0.0,127.0,57.0,2393.0,309.0,87.0,222.0,216.0,166.0
7,7,1677349629,Kobus vardonii,-13.101935,31.865026,POINT (31.865026 -13.101935),1,5.1065345,143.0,26.0,1924.02,72.28,-0.57,8.65,109.99,105714.0,105714.0,288.0,210.0,12.0,133.99,133.99,2661.9,192.39,164.99,635.5,120.0,67.0,0.0019782062,244.0,276.0,204.0,832.0,209.0,0.0,110.0,550.0,0.0,261.0,0.0,147.0,57.0,2813.0,362.0,107.0,255.0,260.0,204.0
8,8,1305151792,Kobus vardonii,-13.088291,31.612713,POINT (31.612713 -13.088291),1,2.1719902,143.0,26.0,1876.18,80.02,-0.54,8.55,115.35,103464.0,103464.0,279.0,206.0,12.0,129.69,129.69,2645.1,188.04,161.69,619.5,120.0,67.0,0.009161317,239.0,270.0,199.0,858.0,218.0,0.0,112.0,580.0,0.0,274.0,0.0,143.0,56.0,2779.0,357.0,106.0,251.0,254.0,199.0
9,9,1802772856,Kobus vardonii,-14.299743,25.902805,POINT (25.902805 -14.299743),1,0.7241406,130.0,15.0,1743.12,74.73,-0.43,8.4,128.25,89946.0,89946.0,253.0,159.0,12.0,117.76,123.02,2222.54,167.62,147.14,518.0,403.0,58.0,0.0036943965,208.0,234.0,167.0,991.0,233.0,0.0,110.0,662.0,1.0,388.0,3.0,149.0,56.0,2754.0,327.0,63.0,264.0,225.0,167.0
