,gbif_id,taxon_name,decimal_latitude,decimal_longitude,occurrence,band 1,band 2,band 3,band 4,band 5,band 6,band 7,band 8,band 9,band 10,band 11,band 12,band 13,band 14,band 15,band 16,band 17,band 18,band 19,band 20,band 21,band 22,band 23,band 24,band 25,band 26,band 27,band 28,band 29,band 30,band 31,band 32,band 33,band 34,band 35,band 36,band 37,band 38,band 39,band 40,band 41
0,1993774928,Madoqua saltiana,9.401375,44.329834000000005,1,1.9660486,133.0,20.0,1765.2,79.44,-0.79,6.3,62.47,97218.0,97218.0,257.0,186.0,12.0,123.5,127.43,1578.77,157.03,160.79,574.0,102.0,76.0,0.0029594307,225.0,245.0,194.0,363.0,64.0,2.0,71.0,154.0,9.0,127.0,12.0,132.0,67.0,2184.0,316.0,119.0,197.0,244.0,194.0
1,1946348704,Madoqua saltiana,8.94281,40.140609000000005,1,0.29077995,157.0,44.0,2035.17,70.47,-0.7,6.85,88.8,109962.0,109962.0,305.0,215.0,12.0,150.42,159.07,1471.88,187.93,169.03,673.5,77.0,74.0,0.010562944,254.0,277.0,226.0,601.0,134.0,8.0,71.0,300.0,43.0,137.0,44.0,152.0,66.0,2009.0,363.0,136.0,227.0,263.0,235.0
2,1933583427,Madoqua saltiana,9.474521000000001,40.318871,1,4.9587793,136.0,18.0,2082.86,74.99,-0.75,7.6,73.29,113184.0,113184.0,312.0,226.0,12.0,152.95,162.21,1537.85,186.92,175.1,696.0,136.0,69.0,0.012902698,262.0,288.0,231.0,521.0,128.0,6.0,70.0,240.0,38.0,135.0,40.0,155.0,65.0,2206.0,374.0,136.0,238.0,273.0,239.0
3,1901027440,Madoqua saltiana,9.083333,40.0,1,0.8642452,136.0,18.0,2040.38,71.92,-0.72,7.0,83.92,110196.0,110196.0,305.0,216.0,12.0,150.84,159.62,1479.34,188.42,168.87,675.0,136.0,69.0,0.027366033,255.0,278.0,226.0,573.0,135.0,6.0,76.0,294.0,37.0,129.0,38.0,153.0,66.0,2030.0,364.0,135.0,229.0,264.0,234.0
4,1807325705,Madoqua saltiana,8.981392999999999,39.918822999999996,1,2.8969676,136.0,18.0,1971.74,66.48,-0.66,6.55,99.82,104652.0,104652.0,293.0,201.0,12.0,146.22,146.22,1411.05,181.89,162.65,636.5,136.0,69.0,0.015770169,242.0,263.0,214.0,661.0,146.0,6.0,76.0,348.0,41.0,156.0,41.0,152.0,68.0,1908.0,349.0,126.0,223.0,250.0,214.0
5,1802768239,Madoqua saltiana,8.847452,40.012718,1,5.0999613,157.0,44.0,2001.67,70.67,-0.71,6.85,87.31,107514.0,107514.0,298.0,209.0,12.0,148.06,148.06,1443.82,184.83,165.63,655.5,77.0,74.0,0.024976471,249.0,271.0,220.0,587.0,136.0,6.0,78.0,308.0,39.0,129.0,39.0,151.0,66.0,2008.0,356.0,130.0,226.0,258.0,220.0
6,1802765136,Madoqua saltiana,8.858419,40.052192,1,5.0999613,157.0,44.0,2001.67,70.67,-0.71,6.85,87.31,107514.0,107514.0,298.0,209.0,12.0,148.06,148.06,1443.82,184.83,165.63,655.5,77.0,74.0,0.024976471,249.0,271.0,220.0,587.0,136.0,6.0,78.0,308.0,39.0,129.0,39.0,151.0,66.0,2008.0,356.0,130.0,226.0,258.0,220.0
7,1339115302,Madoqua saltiana,8.842881,40.011433000000004,1,5.0999613,157.0,44.0,2001.67,70.67,-0.71,6.85,87.31,107514.0,107514.0,298.0,209.0,12.0,148.06,148.06,1443.82,184.83,165.63,655.5,77.0,74.0,0.024976471,249.0,271.0,220.0,587.0,136.0,6.0,78.0,308.0,39.0,129.0,39.0,151.0,66.0,2008.0,356.0,130.0,226.0,258.0,220.0
8,1339096073,Madoqua saltiana,8.944766,40.042419,1,1.6159036,136.0,18.0,2015.61,69.74,-0.7,6.85,90.25,108252.0,108252.0,301.0,211.0,12.0,149.02,157.38,1457.22,186.14,167.05,661.5,136.0,69.0,0.019852923,250.0,273.0,222.0,610.0,140.0,7.0,76.0,315.0,40.0,137.0,41.0,152.0,66.0,2008.0,359.0,132.0,227.0,259.0,231.0
9,865729352,Madoqua saltiana,13.29999,42.13337,1,1.7001395,136.0,18.0,1752.45,93.89,-0.94,8.2,19.74,127548.0,127548.0,299.0,284.0,12.0,113.03,166.76,2570.72,173.7,168.73,793.0,136.0,69.0,0.0063103116,295.0,332.0,255.0,107.0,18.0,1.0,51.0,42.0,10.0,33.0,32.0,95.0,53.0,2985.0,386.0,207.0,179.0,329.0,312.0
10,665919497,Madoqua saltiana,8.833333,40.066666,1,5.250585,157.0,44.0,1981.84,68.31,-0.68,6.45,95.63,105750.0,105750.0,295.0,203.0,12.0,147.13,147.13,1379.43,182.02,164.1,643.5,77.0,74.0,0.030002093,245.0,265.0,217.0,628.0,136.0,6.0,74.0,323.0,40.0,150.0,40.0,151.0,68.0,1893.0,350.0,129.0,221.0,254.0,217.0
11,665914399,Madoqua saltiana,9.166667,44.799999,1,1.0938563,138.0,19.0,1814.2,85.17,-0.85,6.1,46.14,101988.0,101988.0,271.0,196.0,12.0,130.09,134.0,1435.25,156.83,163.78,607.0,59.0,77.0,0.0015366256,236.0,255.0,206.0,269.0,56.0,1.0,80.0,130.0,5.0,80.0,12.0,132.0,67.0,2130.0,326.0,129.0,197.0,253.0,206.0
12,665899459,Madoqua saltiana,9.816667,41.75,1,6.206312,139.0,20.0,1883.21,74.03,-0.74,7.45,80.2,112842.0,112842.0,292.0,237.0,12.0,135.55,144.74,1534.95,171.45,168.38,692.5,63.0,78.0,0.024920525,261.0,288.0,227.0,489.0,104.0,4.0,74.0,231.0,30.0,194.0,45.0,127.0,62.0,2460.0,359.0,155.0,204.0,283.0,241.0
